row_number,item_id,title,sku,match_method,match_confidence,current_price,market_price,recommended_price,difference,percent_change,recommendation,changed,review_required,reason,provider
1,147258801076,N's Zoroark ex SR #117/100 - TAG 10 - Battle Partners - Pokemon Japanese,05.19.26,sku,high,45.00,,45.00,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
2,147273209951,Brook OP15-022 Adventure On Kami's Island R English NM One Piece,05.19.26,sku,high,0.99,,0.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
3,147275111807,Kaku Rare EB04-043 | Adventure on Kami’s Island OP-15-EB04 | One Piece,05.19.26,sku,high,0.99,,0.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
4,147275112576,Pearl | OP15-011 | R,05.19.26,sku,high,0.99,,0.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
5,147275206221,Perona OP15-090 Adventure on Kami's Island UC NM One Piece,05.19.26,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
6,147275208241,Sai OP15-045 | R | Adventure on Kamis Island,05.19.26,sku,high,0.99,,0.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
7,147285027136,Kamikoto Knife Roll Black Canva Heavy Duty- FREE SHIPPING,05.19.26,sku,high,39.99,,39.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
8,147293513303,Flareon 136/165 Scarlet and Violet 151 Holo Rare,05.19.26,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
9,147293569097,Moltres 146/165 Scarlet & Violet 151 Holo Rare NM Pokemon,05.19.26,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
10,147293581218,Vileplume Rare Holofoil 045/165 SV: Scarlet & Violet 151 NM,05.19.26,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
11,147293589270,Beedrill 015/165  Scarlet & Violet 151 Holo Rare,05.19.26,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
12,147293591498,Gyarados 130/165 Sv: Scarlet & Violet 151 Reverse Holo,05.19.26,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
13,147293594732,Omastar 139/165 Scarlet & Violet 151 Rare NM Pokemon,05.19.26,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
14,147293596889,Articuno 144/165 Scarlet & Violet 151 Rare NM Pokemon,05.19.26,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
15,147293598550,Vaporeon Rare SV: Scarlet & Violet 151 134/165 NM English Holo,05.19.26,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
16,147293600241,Starmie 121/165 Scarlet & Violet 151 Holo Rare NM Pokemon,05.19.26,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
17,147293602847,Pokemon Ditto 132/165 Sv: Scarlet & Violet 151 Holo,05.19.26,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
18,147293609500,Chansey 113/165 Scarlet & Violet 151 Holo Rare NM Pokemon,05.19.26,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
19,147293613071,Aerodactyl 142/165 Scarlet & Violet 151 Holo Rare NM Pokemon,05.19.26,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
20,147305478040,Venomoth 049/165 Scarlet & Violet 151 Reverse Holo NM,05.19.26,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
21,147305482659,Victreebel 071/165 Scarlet & Violet 151 Reverse Holo NM Pokemon,05.19.26,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
22,147306694444,Master Ball 153/162 ACE SPEC NM Pokemon,05.19.26,sku,high,5.00,,5.00,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
23,147317919204,Zapdos ex 192/165 Pokemon 151 Ultra Rare,05.19.26,sku,high,15.99,,15.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
24,147320683627,Mega Gardevoir ex Holo Promo ME: Mega Evolution Promo 032 NM,05.20.26-1-003,sku,high,12.99,,12.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
25,147323836511,Gengar 050/088 Rare Perfect Order Pokemon Reverse Holo Near Mint,,item_specifics,medium,1.99,,1.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
26,147323871055,Poké ball Trainer Japanese Pocket Monsters Jungle Set,,item_specifics,medium,2.49,,2.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
