row_number,item_id,title,sku,match_method,match_confidence,current_price,market_price,market_source,market_confidence,reference_only,accepted_comps,rejected_comps,recommended_price,difference,percent_change,recommendation,changed,review_required,reason,pricing_reason,provider
382,147391517839,Kyogre 003/025 NM Celebrations,06.17.26.1-004,sku,high,1.09,1.36,carduploader_ebay_sold_comps,70,FALSE,149,51,1.36,0.27,24.77,Increase,TRUE,FALSE,"Market $1.36; buyer pays shipping, no shipping adjustment; configurable strategy target $1.36.","Market $1.36; buyer pays shipping, no shipping adjustment; configurable strategy target $1.36.",CardUploader eBay Sales
384,147391517951,Groudon 017/025 NM Celebrations,06.17.26.1-011,sku,high,0.99,1.24,carduploader_ebay_sold_comps,70,FALSE,160,40,1.24,0.25,25.25,Increase,TRUE,FALSE,"Market $1.24; buyer pays shipping, no shipping adjustment; configurable strategy target $1.24.","Market $1.24; buyer pays shipping, no shipping adjustment; configurable strategy target $1.24.",CardUploader eBay Sales
390,147391517980,Lunala 015/025 NM Celebrations,06.17.26.1-012,sku,high,1.09,1.49,carduploader_ebay_sold_comps,88,FALSE,182,18,1.49,0.40,36.70,Increase,TRUE,FALSE,"Market $1.49; buyer pays shipping, no shipping adjustment; configurable strategy target $1.49.","Market $1.49; buyer pays shipping, no shipping adjustment; configurable strategy target $1.49.",CardUploader eBay Sales
391,147391517988,Cosmog 013/025 NM Celebrations,06.17.26.1-001,sku,high,1.09,1.49,carduploader_ebay_sold_comps,80,FALSE,159,41,1.49,0.40,36.70,Increase,TRUE,FALSE,"Market $1.49; buyer pays shipping, no shipping adjustment; configurable strategy target $1.49.","Market $1.49; buyer pays shipping, no shipping adjustment; configurable strategy target $1.49.",CardUploader eBay Sales
393,147391517998,Palkia 004/025 NM Celebrations,06.17.26.1-003,sku,high,1.09,1.35,carduploader_ebay_sold_comps,71,FALSE,150,50,1.35,0.26,23.85,Increase,TRUE,FALSE,"Market $1.35; buyer pays shipping, no shipping adjustment; configurable strategy target $1.35.","Market $1.35; buyer pays shipping, no shipping adjustment; configurable strategy target $1.35.",CardUploader eBay Sales
457,147393734073,Togedemaru 74/236 Common Cosmic Eclipse Pokemon Reverse Holo Near Mint,CS-2XF89T,sku,high,1.49,1.99,carduploader_inventory_price,medium,FALSE,,,1.99,0.50,33.56,Increase,TRUE,FALSE,"Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99.","Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99.",CardUploader
458,147393734075,Ambipom 170/236 Uncommon Cosmic Eclipse Pokemon Reverse Holo Near Mint,CS-ACAACB,sku,high,2.49,2.99,carduploader_inventory_price,medium,FALSE,,,2.99,0.50,20.08,Increase,TRUE,FALSE,"Market $2.99; buyer pays shipping, no shipping adjustment; configurable strategy target $2.99.","Market $2.99; buyer pays shipping, no shipping adjustment; configurable strategy target $2.99.",CardUploader
460,147393734079,Amoonguss 14/236 Rare Unified Minds Pokemon Reverse Holo Near Mint,CS-CPRU9J,sku,high,1.49,1.99,carduploader_inventory_price,medium,FALSE,,,1.99,0.50,33.56,Increase,TRUE,FALSE,"Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99.","Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99.",CardUploader
461,147393734080,Xerneas 078/185 Holo Rare Vivid Voltage Pokemon Holo Near Mint,CS-4MDWPJ,sku,high,1.49,1.99,carduploader_inventory_price,medium,FALSE,,,1.99,0.50,33.56,Increase,TRUE,FALSE,"Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99.","Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99.",CardUploader
462,147393734082,Staryu 13/68 Common Hidden Fates Pokemon Reverse Holo Near Mint,CS-ER2MMT,sku,high,1.49,1.99,carduploader_inventory_price,medium,FALSE,,,1.99,0.50,33.56,Increase,TRUE,FALSE,"Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99.","Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99.",CardUploader
