Action,ItemID,StartPrice,Title,CustomLabel,MarketplaceIntelligenceReason
Revise,147391517839,1.36,Kyogre 003/025 NM Celebrations,06.17.26.1-004,"Market $1.36; buyer pays shipping, no shipping adjustment; configurable strategy target $1.36."
Revise,147391517951,1.24,Groudon 017/025 NM Celebrations,06.17.26.1-011,"Market $1.24; buyer pays shipping, no shipping adjustment; configurable strategy target $1.24."
Revise,147391517980,1.49,Lunala 015/025 NM Celebrations,06.17.26.1-012,"Market $1.49; buyer pays shipping, no shipping adjustment; configurable strategy target $1.49."
Revise,147391517988,1.49,Cosmog 013/025 NM Celebrations,06.17.26.1-001,"Market $1.49; buyer pays shipping, no shipping adjustment; configurable strategy target $1.49."
Revise,147391517998,1.35,Palkia 004/025 NM Celebrations,06.17.26.1-003,"Market $1.35; buyer pays shipping, no shipping adjustment; configurable strategy target $1.35."
Revise,147393734073,1.99,Togedemaru 74/236 Common Cosmic Eclipse Pokemon Reverse Holo Near Mint,CS-2XF89T,"Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99."
Revise,147393734075,2.99,Ambipom 170/236 Uncommon Cosmic Eclipse Pokemon Reverse Holo Near Mint,CS-ACAACB,"Market $2.99; buyer pays shipping, no shipping adjustment; configurable strategy target $2.99."
Revise,147393734079,1.99,Amoonguss 14/236 Rare Unified Minds Pokemon Reverse Holo Near Mint,CS-CPRU9J,"Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99."
Revise,147393734080,1.99,Xerneas 078/185 Holo Rare Vivid Voltage Pokemon Holo Near Mint,CS-4MDWPJ,"Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99."
Revise,147393734082,1.99,Staryu 13/68 Common Hidden Fates Pokemon Reverse Holo Near Mint,CS-ER2MMT,"Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99."
Revise,147393734083,1.99,Voltorb 21/68 Common Hidden Fates Pokemon Reverse Holo Near Mint,CS-4HUCCR,"Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99."
Revise,147395242788,1.99,Zekrom ex 034/086 Holo Double Rare Black Bolt Pokemon Holo Near Mint,CS-P9SZ8G,"Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99."
Revise,147395242796,1.99,Erika's Vileplume ex 003/217 Double Rare Ascended Heroes Pokemon Holo Near Mint,CS-JV59HJ,"Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99."
Revise,147395242799,1.99,Venusaur ex 003/165 Double Rare 151 Pokemon Holo Near Mint,CS-V8DY6A,"Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99."
Revise,147395286165,1.74,Surgeon ~General~ Commander 072/096 The List Reprints MTG Foil NM,CS-8524U5,"Market $1.74; buyer pays shipping, no shipping adjustment; configurable strategy target $1.74."
Revise,147395286166,2.24,"Kairi, the Swirling Sky 60 Mythic Prerelease Cards Magic: The Gathering Foil NM",CS-C59ZD8,"Market $2.24; buyer pays shipping, no shipping adjustment; configurable strategy target $2.24."
Revise,147395286167,1.74,Revitalize (Foil Etched) 9 Strixhaven: Mystical Archives MTG Foil NM,CS-BAEW3B,"Market $1.74; buyer pays shipping, no shipping adjustment; configurable strategy target $1.74."
Revise,147395286168,1.74,Divine Gambit (Foil Etched) 4 Strixhaven: Mystical Archives MTG Foil NM,CS-GRDGQC,"Market $1.74; buyer pays shipping, no shipping adjustment; configurable strategy target $1.74."
Revise,147395286170,1.74,Kindslaver 150/216 Rare The List Reprints Magic: The Gathering Foil Near Mint,CS-RKD6N5,"Market $1.74; buyer pays shipping, no shipping adjustment; configurable strategy target $1.74."
Revise,147395286171,1.74,Compulsive Research (Foil Etched) 14 Strixhaven: Mystical Archives MTG Foil NM,CS-B8GB2N,"Market $1.74; buyer pays shipping, no shipping adjustment; configurable strategy target $1.74."
Revise,147395286172,1.74,Claim the Firstborn (Foil Etched) 37 Strixhaven: Mystical Archives MTG Foil NM,CS-489U88,"Market $1.74; buyer pays shipping, no shipping adjustment; configurable strategy target $1.74."
Revise,147395286173,1.99,Oddly Uneven 15 Rare Unstable Magic: The Gathering Foil Near Mint,CS-PZ4N9K,"Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99."
Revise,147395286174,1.74,Adult Gold Dragon (Borderless) 297 Adventures in the Forgotten Realms MTG NM,CS-X3CUGF,"Market $1.74; buyer pays shipping, no shipping adjustment; configurable strategy target $1.74."
