Card Name,Set Name,Card Number,Search Query Used,Total Candidates Returned,Accepted Candidates,Rejected Candidates,Rejected: card name mismatch,Rejected: card number mismatch,Rejected: excluded graded term,Rejected: excluded lot/pack/playset/booster/deck/sealed term,Rejected: other reason
Usopp,Adventure on Kami's Island,OP15-024,Usopp Adventure on Kami's Island OP15-024,200,0,200,161,2,15,21,1
Usopp,Adventure on Kami's Island,OP15-024,Usopp Adventure on Kami's Island OP15-024,200,0,200,161,2,15,21,1
Ohm,Adventure on Kami's Island,OP15-061,Ohm Adventure on Kami's Island OP15-061,19,14,5,2,0,0,2,1
Nico Robin,Adventure on Kami's Island,OP15-109,Nico Robin Adventure on Kami's Island OP15-109,19,17,2,0,0,0,2,0
Viola,Adventure on Kami's Island,OP15-040,Viola Adventure on Kami's Island OP15-040,200,0,200,164,0,12,23,1
Monkey.D.Luffy,Adventure on Kami's Island,OP15-092,Monkey.D.Luffy Adventure on Kami's Island OP15-092,19,18,1,1,0,0,0,0
"DON!! Card Monkey D. Luffy ""Ring That Golden Bell!!"" (Luffy)",Adventure on Kami's Island,,"DON!! Card Monkey D. Luffy ""Ring That Golden Bell!!"" (Luffy) Adventure on Kami's Island",200,0,200,140,0,19,32,9
Shura,Adventure on Kami's Island,OP15-067,Shura Adventure on Kami's Island OP15-067,19,12,7,4,0,0,3,0
Distorted Future,Adventure on Kami's Island,EB04-008,Distorted Future Adventure on Kami's Island EB04-008,200,0,200,158,0,15,25,2
Oars,Adventure on Kami's Island,OP15-080,Oars Adventure on Kami's Island OP15-080,200,0,200,161,0,16,22,1
Bartholomew Kuma,Adventure on Kami's Island,EB04-054,Bartholomew Kuma Adventure on Kami's Island EB04-054,19,8,11,3,0,0,8,0
Sanji,Adventure on Kami's Island,OP15-047,Sanji Adventure on Kami's Island OP15-047,19,18,1,1,0,0,0,0
Swallow Bond en Avant,Adventure on Kami's Island,OP15-096,Swallow Bond en Avant Adventure on Kami's Island OP15-096,18,15,3,1,0,0,2,0
Kuro,Adventure on Kami's Island,OP15-025,Kuro Adventure on Kami's Island OP15-025,19,16,3,2,0,0,1,0
Gan.Fall,Adventure on Kami's Island,OP15-102,Gan.Fall Adventure on Kami's Island OP15-102,14,11,3,1,0,0,1,1
Gum-Gum Golden Rifle,Adventure on Kami's Island,OP15-116,Gum-Gum Golden Rifle Adventure on Kami's Island OP15-116,19,15,4,2,0,1,1,0
Gedatsu,Adventure on Kami's Island,OP15-063,Gedatsu Adventure on Kami's Island OP15-063,19,11,8,1,0,0,7,0
Smoker & Tashigi,Adventure on Kami's Island,EB04-003,Smoker & Tashigi Adventure on Kami's Island EB04-003,0,0,0,0,0,0,0,0
Sanji,Adventure on Kami's Island,EB04-052,Sanji Adventure on Kami's Island EB04-052,19,15,4,2,0,0,2,0
Monkey.D.Luffy,Adventure on Kami's Island,OP15-092,Monkey.D.Luffy Adventure on Kami's Island OP15-092,19,18,1,1,0,0,0,0
Bartholomew Kuma,Adventure on Kami's Island,EB04-054,Bartholomew Kuma Adventure on Kami's Island EB04-054,19,8,11,3,0,0,8,0
Nami,Adventure on Kami's Island,OP15-086,Nami Adventure on Kami's Island OP15-086,200,0,200,168,3,12,13,4
Koby,Adventure on Kami's Island,EB04-044,Koby Adventure on Kami's Island EB04-044,19,13,6,3,0,2,1,0
Roronoa Zoro,Adventure on Kami's Island,OP15-113,Roronoa Zoro Adventure on Kami's Island OP15-113,19,17,2,2,0,0,0,0
Brook,Adventure on Kami's Island,OP15-032,Brook Adventure on Kami's Island OP15-032,19,17,2,2,0,0,0,0
Enel,Adventure on Kami's Island,OP15-060,Enel Adventure on Kami's Island OP15-060,20,13,7,3,1,0,2,1
Gin,Adventure on Kami's Island,OP15-007,Gin Adventure on Kami's Island OP15-007,19,17,2,1,0,0,1,0
