row,title,card_name,set,number,current_price,query,status,accepted_count,rejected_count,last_sale,last3_avg,median,confidence,reason
1,USOPP OP15-024 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Usopp,Adventure on Kami's Island,OP15-024,1.99,Usopp Adventure on Kami's Island OP15-024,NO_DATA,0,200,,,,0,No accepted comparables after validation.
2,USOPP OP15-024 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Usopp,Adventure on Kami's Island,OP15-024,1.99,Usopp Adventure on Kami's Island OP15-024,NO_DATA,0,200,,,,0,No accepted comparables after validation.
3,OHM OP15-061 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Ohm,Adventure on Kami's Island,OP15-061,0.99,Ohm Adventure on Kami's Island OP15-061,NO_CHANGE,14,5,1.37,4.45,6.46,60,Market data did not exceed opportunity threshold.
4,NICO ROBIN OP15-109 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Nico Robin,Adventure on Kami's Island,OP15-109,0.99,Nico Robin Adventure on Kami's Island OP15-109,NO_CHANGE,17,2,20.0,13.66,17.26,60,Market data did not exceed opportunity threshold.
5,VIOLA OP15-040 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Viola,Adventure on Kami's Island,OP15-040,0.99,Viola Adventure on Kami's Island OP15-040,NO_DATA,0,200,,,,0,No accepted comparables after validation.
6,MONKEY.D.LUFFY OP15-092 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Monkey.D.Luffy,Adventure on Kami's Island,OP15-092,1.99,Monkey.D.Luffy Adventure on Kami's Island OP15-092,NO_CHANGE,18,1,3.37,7.67,2.69,60,Market data did not exceed opportunity threshold.
7,"DON!! CARD ""RING THAT GOLDEN BELL!!"" ADVENTURE ON KAMI'S ISLAND FOIL NM","DON!! Card Monkey D. Luffy ""Ring That Golden Bell!!"" (Luffy)",Adventure on Kami's Island,,1.99,"DON!! Card Monkey D. Luffy ""Ring That Golden Bell!!"" (Luffy) Adventure on Kami's Island",NO_DATA,0,200,,,,0,No accepted comparables after validation.
8,SHURA OP15-067 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Shura,Adventure on Kami's Island,OP15-067,1.49,Shura Adventure on Kami's Island OP15-067,NO_CHANGE,12,7,1.64,2.13,1.7,70,Market data did not exceed opportunity threshold.
9,DISTORTED FUTURE EB04-008 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Distorted Future,Adventure on Kami's Island,EB04-008,1.49,Distorted Future Adventure on Kami's Island EB04-008,NO_DATA,0,200,,,,0,No accepted comparables after validation.
10,OARS OP15-080 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Oars,Adventure on Kami's Island,OP15-080,0.99,Oars Adventure on Kami's Island OP15-080,NO_DATA,0,200,,,,0,No accepted comparables after validation.
11,BARTHOLOMEW KUMA EB04-054 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Bartholomew Kuma,Adventure on Kami's Island,EB04-054,0.99,Bartholomew Kuma Adventure on Kami's Island EB04-054,NO_CHANGE,8,11,0.99,1.43,1.55,65,Market data did not exceed opportunity threshold.
12,SANJI OP15-047 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Sanji,Adventure on Kami's Island,OP15-047,0.99,Sanji Adventure on Kami's Island OP15-047,NO_CHANGE,18,1,1.0,1.1,2.08,80,Market data did not exceed opportunity threshold.
13,SWALLOW BOND EN AVANT OP15-096 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Swallow Bond en Avant,Adventure on Kami's Island,OP15-096,0.99,Swallow Bond en Avant Adventure on Kami's Island OP15-096,NO_CHANGE,15,3,1.59,1.68,1.55,63,Market data did not exceed opportunity threshold.
14,KURO OP15-025 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Kuro,Adventure on Kami's Island,OP15-025,0.99,Kuro Adventure on Kami's Island OP15-025,NO_CHANGE,16,3,1.37,2.45,4.0,60,Market data did not exceed opportunity threshold.
15,GAN.FALL OP15-102 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Gan.Fall,Adventure on Kami's Island,OP15-102,0.99,Gan.Fall Adventure on Kami's Island OP15-102,NO_CHANGE,11,3,1.58,1.34,1.45,74,Market data did not exceed opportunity threshold.
16,GUM-GUM GOLDEN RIFLE OP15-116 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Gum-Gum Golden Rifle,Adventure on Kami's Island,OP15-116,1.49,Gum-Gum Golden Rifle Adventure on Kami's Island OP15-116,NO_CHANGE,15,4,56.31,70.4,75.0,77,Market data did not exceed opportunity threshold.
17,GEDATSU OP15-063 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Gedatsu,Adventure on Kami's Island,OP15-063,0.99,Gedatsu Adventure on Kami's Island OP15-063,NO_CHANGE,11,8,1.47,1.72,1.45,62,Market data did not exceed opportunity threshold.
18,SMOKER & TASHIGI EB04-003 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Smoker & Tashigi,Adventure on Kami's Island,EB04-003,0.99,Smoker & Tashigi Adventure on Kami's Island EB04-003,NO_DATA,0,0,,,,0,No accepted comparables after validation.
19,SANJI EB04-052 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Sanji,Adventure on Kami's Island,EB04-052,0.99,Sanji Adventure on Kami's Island EB04-052,NO_CHANGE,15,4,8.5,4.26,8.0,60,Market data did not exceed opportunity threshold.
20,MONKEY.D.LUFFY OP15-092 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Monkey.D.Luffy,Adventure on Kami's Island,OP15-092,1.99,Monkey.D.Luffy Adventure on Kami's Island OP15-092,NO_CHANGE,18,1,3.37,7.67,2.69,60,Market data did not exceed opportunity threshold.
21,BARTHOLOMEW KUMA EB04-054 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Bartholomew Kuma,Adventure on Kami's Island,EB04-054,0.99,Bartholomew Kuma Adventure on Kami's Island EB04-054,NO_CHANGE,8,11,0.99,1.43,1.55,65,Market data did not exceed opportunity threshold.
22,NAMI OP15-086 ADVENTURE ON KAMI'S ISLAND FOIL SUPER RARE NM,Nami,Adventure on Kami's Island,OP15-086,11.99,Nami Adventure on Kami's Island OP15-086,NO_DATA,0,200,,,,0,No accepted comparables after validation.
23,KOBY EB04-044 ADVENTURE ON KAMI'S ISLAND FOIL SUPER RARE NM,Koby,Adventure on Kami's Island,EB04-044,1.49,Koby Adventure on Kami's Island EB04-044,NO_CHANGE,13,6,15.0,405.0,20.0,60,Market data did not exceed opportunity threshold.
24,RORONOA ZORO OP15-113 ADVENTURE ON KAMI'S ISLAND FOIL SUPER RARE NM,Roronoa Zoro,Adventure on Kami's Island,OP15-113,4.99,Roronoa Zoro Adventure on Kami's Island OP15-113,NO_CHANGE,17,2,4.51,4.58,3.25,79,Market data did not exceed opportunity threshold.
25,BROOK OP15-032 ADVENTURE ON KAMI'S ISLAND FOIL SUPER RARE NM,Brook,Adventure on Kami's Island,OP15-032,4.99,Brook Adventure on Kami's Island OP15-032,NO_CHANGE,17,2,9.55,11.32,6.49,60,Market data did not exceed opportunity threshold.
26,ENEL OP15-060 ADVENTURE ON KAMI'S ISLAND FOIL SUPER RARE NM,Enel,Adventure on Kami's Island,OP15-060,0.99,Enel Adventure on Kami's Island OP15-060,NO_CHANGE,13,7,1.94,1.37,1.94,68,Market data did not exceed opportunity threshold.
27,GIN OP15-007 ADVENTURE ON KAMI'S ISLAND FOIL SUPER RARE NM,Gin,Adventure on Kami's Island,OP15-007,0.99,Gin Adventure on Kami's Island OP15-007,NO_CHANGE,17,2,3.25,2.19,3.0,63,Market data did not exceed opportunity threshold.
