row,title,card_name,set,number,current_price,query,status,accepted_count,rejected_count,last_sale,last3_avg,median,confidence,reason,candidate_title,candidate_price,reject_reason,card_name_expected,normalized_card_name,normalized_candidate_title,name_match_score,matched_name_tokens,missing_name_tokens,card_number_expected,card_number_found,card_number_match,set_expected,set_match_score,excluded_terms_found,final_rejection_reason,rejection_details
1,USOPP OP15-024 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Usopp,Adventure on Kami's Island,OP15-024,1.99,Usopp Adventure on Kami's Island OP15-024,NO_DATA,0,0,,,,0,,Mike Green 2025 Panini Score Teal Die Cut #1/10 (FIRST ON PRINT),20,card name mismatch,Usopp,usopp,mike green 2025 panini score teal die cut 1 10 first on print,0,,usopp,OP15-024,green 2025; 1/10,no,Adventure on Kami's Island,20,,card name mismatch,"Expected ""Usopp""; matched token(s): none; missing token(s): usopp; name score 0 below threshold 90. Expected card number ""OP15-024""; found ""green 2025; 1/10"". Set ""Adventure on Kami's Island"" title-token score: 20. Final rejection reason: card name mismatch."
1,USOPP OP15-024 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Usopp,Adventure on Kami's Island,OP15-024,1.99,Usopp Adventure on Kami's Island OP15-024,NO_DATA,0,0,,,,0,,2024 Panini Immaculate Trey Benson Numbers 33 Patch Auto NRPA-TBN On Card 99/99,13.99,card name mismatch,Usopp,usopp,2024 panini immaculate trey benson numbers 33 patch auto nrpa tbn on card 99 99,0,,usopp,OP15-024,mbers 33; card 99,no,Adventure on Kami's Island,20,,card name mismatch,"Expected ""Usopp""; matched token(s): none; missing token(s): usopp; name score 0 below threshold 90. Expected card number ""OP15-024""; found ""mbers 33; card 99"". Set ""Adventure on Kami's Island"" title-token score: 20. Final rejection reason: card name mismatch."
1,USOPP OP15-024 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Usopp,Adventure on Kami's Island,OP15-024,1.99,Usopp Adventure on Kami's Island OP15-024,NO_DATA,0,0,,,,0,,DISNEY EPCOT FLOWER & GARDEN FESTIVAL 2021 MINNIE MOUSE PIN ON PIN,6.3,card name mismatch,Usopp,usopp,disney epcot flower garden festival 2021 minnie mouse pin on pin,0,,usopp,OP15-024,tival 2021,no,Adventure on Kami's Island,20,,card name mismatch,"Expected ""Usopp""; matched token(s): none; missing token(s): usopp; name score 0 below threshold 90. Expected card number ""OP15-024""; found ""tival 2021"". Set ""Adventure on Kami's Island"" title-token score: 20. Final rejection reason: card name mismatch."
1,USOPP OP15-024 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Usopp,Adventure on Kami's Island,OP15-024,1.99,Usopp Adventure on Kami's Island OP15-024,NO_DATA,0,0,,,,0,,2021 Topps Chrome Sapphire Luis Garcia rookie Autograph auto on card,16,card name mismatch,Usopp,usopp,2021 topps chrome sapphire luis garcia rookie autograph auto on card,0,,usopp,OP15-024,,no,Adventure on Kami's Island,20,,card name mismatch,"Expected ""Usopp""; matched token(s): none; missing token(s): usopp; name score 0 below threshold 90. Expected card number ""OP15-024""; found ""none"". Set ""Adventure on Kami's Island"" title-token score: 20. Final rejection reason: card name mismatch."
1,USOPP OP15-024 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Usopp,Adventure on Kami's Island,OP15-024,1.99,Usopp Adventure on Kami's Island OP15-024,NO_DATA,0,0,,,,0,,Topps Roxanne Perez Title Marks On Card Autograph Relic Card /99 WWE Universe 25,131.99,card name mismatch,Usopp,usopp,topps roxanne perez title marks on card autograph relic card 99 wwe universe 25,0,,usopp,OP15-024,verse 25,no,Adventure on Kami's Island,20,,card name mismatch,"Expected ""Usopp""; matched token(s): none; missing token(s): usopp; name score 0 below threshold 90. Expected card number ""OP15-024""; found ""verse 25"". Set ""Adventure on Kami's Island"" title-token score: 20. Final rejection reason: card name mismatch."
1,USOPP OP15-024 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Usopp,Adventure on Kami's Island,OP15-024,1.99,Usopp Adventure on Kami's Island OP15-024,NO_DATA,0,0,,,,0,,One Piece Set Sail Trading Card Box 36 packs Adventure Action Ace,30,excluded graded term,Usopp,usopp,one piece set sail trading card box 36 packs adventure action ace,0,,usopp,OP15-024,box 36,no,Adventure on Kami's Island,20,ace,excluded graded term,"Expected ""Usopp""; matched token(s): none; missing token(s): usopp; name score 0 below threshold 90. Expected card number ""OP15-024""; found ""box 36"". Set ""Adventure on Kami's Island"" title-token score: 20. Excluded term(s) found: ace. Final rejection reason: excluded graded term."
1,USOPP OP15-024 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Usopp,Adventure on Kami's Island,OP15-024,1.99,Usopp Adventure on Kami's Island OP15-024,NO_DATA,0,0,,,,0,,2026 WDW Sam Eagle American Adventure Muppets Park Day Mystery Pin,35,card name mismatch,Usopp,usopp,2026 wdw sam eagle american adventure muppets park day mystery pin,0,,usopp,OP15-024,,no,Adventure on Kami's Island,20,,card name mismatch,"Expected ""Usopp""; matched token(s): none; missing token(s): usopp; name score 0 below threshold 90. Expected card number ""OP15-024""; found ""none"". Set ""Adventure on Kami's Island"" title-token score: 20. Final rejection reason: card name mismatch."
1,USOPP OP15-024 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Usopp,Adventure on Kami's Island,OP15-024,1.99,Usopp Adventure on Kami's Island OP15-024,NO_DATA,0,0,,,,0,,Roronoa Zoro (EB04-007) EB04-007 Adventure on Kami\'s Island Foil,13.2,card name mismatch,Usopp,usopp,roronoa zoro eb04 007 eb04 007 adventure on kami s island foil,0,,usopp,OP15-024,eb04,no,Adventure on Kami's Island,100,,card name mismatch,"Expected ""Usopp""; matched token(s): none; missing token(s): usopp; name score 0 below threshold 90. Expected card number ""OP15-024""; found ""eb04"". Set ""Adventure on Kami's Island"" title-token score: 100. Final rejection reason: card name mismatch."
1,USOPP OP15-024 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Usopp,Adventure on Kami's Island,OP15-024,1.99,Usopp Adventure on Kami's Island OP15-024,NO_DATA,0,0,,,,0,,2024 DGPT Base Lykke Lorentzen On Card Auto #18,4,card name mismatch,Usopp,usopp,2024 dgpt base lykke lorentzen on card auto 18,0,,usopp,OP15-024,,no,Adventure on Kami's Island,20,,card name mismatch,"Expected ""Usopp""; matched token(s): none; missing token(s): usopp; name score 0 below threshold 90. Expected card number ""OP15-024""; found ""none"". Set ""Adventure on Kami's Island"" title-token score: 20. Final rejection reason: card name mismatch."
1,USOPP OP15-024 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,Usopp,Adventure on Kami's Island,OP15-024,1.99,Usopp Adventure on Kami's Island OP15-024,NO_DATA,0,0,,,,0,,Disney Parks Marvel Get Your Groot On Magic Band Plus White Rocket New Unlinked,30,card name mismatch,Usopp,usopp,disney parks marvel get your groot on magic band plus white rocket new unlinked,0,,usopp,OP15-024,,no,Adventure on Kami's Island,20,,card name mismatch,"Expected ""Usopp""; matched token(s): none; missing token(s): usopp; name score 0 below threshold 90. Expected card number ""OP15-024""; found ""none"". Set ""Adventure on Kami's Island"" title-token score: 20. Final rejection reason: card name mismatch."
