putnam_card_id,set_name,card_name,printed_number,product_id,product_name,status,score,catalog_norm,product_norm
pkm-ascended-heroes-1-217-20be83b6d7,Ascended Heroes,Erika's Oddish,1/217,675813,Erika's Oddish,LINKED,1.00,erika s oddish,erika s oddish
pkm-ascended-heroes-1-217-20be83b6d7,Ascended Heroes,Erika's Oddish,1/217,676992,Erika's Oddish (Energy Symbol Pattern),LINKED,1.00,erika s oddish,erika s oddish
pkm-ascended-heroes-1-217-20be83b6d7,Ascended Heroes,Erika's Oddish,1/217,676852,Erika's Oddish (Poke Ball),LINKED,1.00,erika s oddish,erika s oddish
pkm-ascended-heroes-2-217-64992d69a3,Ascended Heroes,Erika's Gloom,2/217,675814,Erika's Gloom,LINKED,1.00,erika s gloom,erika s gloom
pkm-ascended-heroes-2-217-64992d69a3,Ascended Heroes,Erika's Gloom,2/217,676993,Erika's Gloom (Energy Symbol Pattern),LINKED,1.00,erika s gloom,erika s gloom
pkm-ascended-heroes-2-217-64992d69a3,Ascended Heroes,Erika's Gloom,2/217,676853,Erika's Gloom (Poke Ball),LINKED,1.00,erika s gloom,erika s gloom
pkm-ascended-heroes-3-217-95611996cf,Ascended Heroes,Erika's Vileplume ex,3/217,675815,Erika's Vileplume ex,LINKED,1.00,erika s vileplume ex,erika s vileplume ex
pkm-ascended-heroes-4-217-abafbc96d3,Ascended Heroes,Erika's Bellsprout,4/217,675816,Erika's Bellsprout,LINKED,1.00,erika s bellsprout,erika s bellsprout
pkm-ascended-heroes-4-217-abafbc96d3,Ascended Heroes,Erika's Bellsprout,4/217,676994,Erika's Bellsprout (Energy Symbol Pattern),LINKED,1.00,erika s bellsprout,erika s bellsprout
pkm-ascended-heroes-4-217-abafbc96d3,Ascended Heroes,Erika's Bellsprout,4/217,676854,Erika's Bellsprout (Poke Ball),LINKED,1.00,erika s bellsprout,erika s bellsprout
pkm-ascended-heroes-5-217-94a8ead357,Ascended Heroes,Erika's Weepinbell,5/217,675817,Erika's Weepinbell,LINKED,1.00,erika s weepinbell,erika s weepinbell
pkm-ascended-heroes-5-217-94a8ead357,Ascended Heroes,Erika's Weepinbell,5/217,676995,Erika's Weepinbell (Energy Symbol Pattern),LINKED,1.00,erika s weepinbell,erika s weepinbell
pkm-ascended-heroes-5-217-94a8ead357,Ascended Heroes,Erika's Weepinbell,5/217,676855,Erika's Weepinbell (Poke Ball),LINKED,1.00,erika s weepinbell,erika s weepinbell
pkm-ascended-heroes-6-217-13869805ca,Ascended Heroes,Erika's Victreebel,6/217,675818,Erika's Victreebel,LINKED,1.00,erika s victreebel,erika s victreebel
pkm-ascended-heroes-6-217-13869805ca,Ascended Heroes,Erika's Victreebel,6/217,676996,Erika's Victreebel (Energy Symbol Pattern),LINKED,1.00,erika s victreebel,erika s victreebel
pkm-ascended-heroes-6-217-13869805ca,Ascended Heroes,Erika's Victreebel,6/217,676856,Erika's Victreebel (Poke Ball),LINKED,1.00,erika s victreebel,erika s victreebel
pkm-ascended-heroes-7-217-74082742a5,Ascended Heroes,Erika's Tangela,7/217,675819,Erika's Tangela - 007/217,SKIP_NAME_MISMATCH,0.60,erika s tangela,erika s tangela 007 217
