set_name,cards,linked_cards,no_candidate,name_mismatch
151,207,0,207,0
Ancient Origins,101,69,3,29
Aquapolis,182,112,14,56
Arceus,111,64,0,47
Ascended Heroes,295,160,4,230
Astral Radiance,216,196,1,19
Astral Radiance Trainer Gallery,30,30,0,0
BREAKpoint,126,119,5,2
BREAKthrough,165,136,1,28
BW Black Star Promos,101,0,101,0
Base,102,0,102,0
Base Set 2,130,125,3,2
Battle Styles,183,173,4,6
Best of Game,9,0,9,0
Black Bolt,172,83,2,239
Black and White,115,72,1,42
Boundaries Crossed,153,131,1,21
Brilliant Stars,186,175,1,10
Brilliant Stars Trainer Gallery,30,29,0,1
Burning Shadows,177,166,9,2
Call of Legends,106,90,1,15
Celebrations,25,23,0,3
Celebrations Classic Collection,25,23,1,13
Celestial Storm,187,159,4,24
Champions Path,80,0,80,0
Chaos Rising,122,61,0,61
Chilling Reign,233,222,1,10
Cosmic Eclipse,272,248,2,22
Crimson Invasion,126,123,3,0
Crown Zenith,160,142,1,17
Crown Zenith Galarian Gallery,70,69,1,0
Crystal Guardians,100,84,0,17
DP Black Star Promos,56,0,56,0
Dark Explorers,111,83,0,28
Darkness Ablaze,201,196,0,5
Delta Species,114,89,2,23
Deoxys,108,89,1,18
Destined Rivals,244,145,0,99
Detective Pikachu,18,10,0,8
Diamond and Pearl,130,129,1,0
Double Crisis,34,34,0,0
Dragon,100,57,1,42
Dragon Frontiers,101,88,2,11
Dragon Majesty,80,70,5,5
Dragon Vault,21,13,2,6
Dragons Exalted,128,95,2,31
EX Trainer Kit 2 Minun,12,0,12,0
EX Trainer Kit 2 Plusle,12,0,12,0
EX Trainer Kit Latias,10,0,10,0
EX Trainer Kit Latios,10,0,10,0
Emerald,107,85,1,21
Emerging Powers,98,58,0,40
Evolutions,113,111,1,1
Evolving Skies,237,224,1,12
Expedition Base Set,165,0,165,0
Fates Collide,129,105,4,20
FireRed and LeafGreen,116,0,116,0
Flashfire,110,85,1,24
Forbidden Light,150,125,4,21
Fossil,62,32,0,30
Furious Fists,114,101,2,11
Fusion Strike,284,257,2,25
Futsal Collection,5,0,5,0
GO,88,0,88,0
Generations,117,82,35,0
Great Encounters,106,104,0,2
Guardians Rising,180,161,13,6
Gym Challenge,132,111,1,21
Gym Heroes,132,88,2,42
HGSS Black Star Promos,25,0,25,0
HSTriumphant,103,0,103,0
HSUndaunted,91,0,91,0
HSUnleashed,96,0,96,0
HeartGold and SoulSilver,124,0,124,0
Hidden Fates,69,63,0,6
Hidden Fates Shiny Vault,94,92,0,2
Hidden Legends,102,86,0,16
Holon Phantoms,111,97,1,13
Journey Together,190,132,4,54
Jungle,64,31,0,33
Kalos Starter Set,39,37,0,2
Legend Maker,93,93,0,0
Legendary Collection,110,107,1,2
Legendary Treasures,140,102,27,11
Legends Awakened,146,124,2,20
Lost Origin,217,199,12,6
Lost Origin Trainer Gallery,30,30,0,0
Lost Thunder,240,195,7,38
Majestic Dawn,100,84,0,16
McDonalds Collection 2011,12,0,12,0
McDonalds Collection 2012,12,0,12,0
McDonalds Collection 2014,12,0,12,0
McDonalds Collection 2015,12,0,12,0
McDonalds Collection 2016,12,0,12,0
McDonalds Collection 2017,12,0,12,0
McDonalds Collection 2018,12,0,12,0
McDonalds Collection 2019,12,0,12,0
McDonalds Collection 2021,25,0,25,0
McDonalds Collection 2022,15,0,15,0
Mega Evolution,188,89,6,93
Mysterious Treasures,124,122,1,1
Neo Destiny,113,109,2,2
Neo Discovery,75,40,0,35
Neo Genesis,111,89,2,20
Neo Revelation,66,56,0,10
Next Destinies,103,87,0,16
Nintendo Black Star Promos,40,0,40,0
Noble Victories,102,70,4,28
Obsidian Flames,230,165,2,63
POP Series 1,17,15,0,4
POP Series 2,17,16,0,2
POP Series 3,17,16,0,2
POP Series 4,17,17,0,0
POP Series 5,17,16,0,1
POP Series 6,17,17,0,1
POP Series 7,17,17,0,0
POP Series 8,17,17,0,1
POP Series 9,17,17,0,0
Paldea Evolved,279,105,15,159
Paldean Fates,245,129,5,111
Paradox Rift,266,113,8,145
Perfect Order,124,66,1,57
Phantasmal Flames,130,75,0,55
Phantom Forces,124,105,2,17
Plasma Blast,105,76,1,28
Plasma Freeze,122,66,1,55
Plasma Storm,138,77,3,58
Platinum,133,115,5,13
Power Keepers,108,105,1,2
Primal Clash,164,121,0,43
Prismatic Evolutions,180,117,0,231
Rebel Clash,209,205,0,4
Rising Rivals,120,110,1,9
Roaring Skies,112,73,4,35
Ruby and Sapphire,109,57,2,50
Rumble,16,16,0,0
SM Black Star Promos,251,0,251,0
SWSH Black Star Promos,304,0,304,0
Sandstorm,100,82,0,18
Scarlet and Violet,258,0,258,0
Scarlet and Violet Black Star Promos,165,0,165,0
Scarlet and Violet Energies,16,0,16,0
Secret Wonders,132,131,0,1
Shining Fates,73,71,0,2
Shining Fates Shiny Vault,122,122,0,0
Shining Legends,81,77,3,1
Shrouded Fable,99,47,0,59
Silver Tempest,215,206,2,7
Silver Tempest Trainer Gallery,30,30,0,0
Skyridge,182,90,10,82
Southern Islands,18,18,0,0
Steam Siege,116,113,2,1
Stellar Crown,175,118,0,57
Stormfront,106,87,0,19
Sun and Moon,173,0,173,0
Supreme Victors,153,144,0,9
Surging Sparks,252,137,3,112
Sword and Shield,216,0,216,0
Team Magma vs Team Aqua,97,50,0,47
Team Rocket,83,44,2,37
Team Rocket Returns,111,94,3,14
Team Up,198,173,4,21
Temporal Forces,218,114,4,100
Twilight Masquerade,226,120,3,103
Ultra Prism,178,132,6,40
Unbroken Bonds,238,206,5,27
Unified Minds,261,225,10,26
Unseen Forces,145,117,0,28
Vivid Voltage,203,201,2,0
White Flare,173,86,1,238
Wizards Black Star Promos,53,0,53,0
XY,146,0,146,0
XY Black Star Promos,216,0,216,0
