set_name,cards,linked_cards,multi_variant_cards,image_cards,linked_pct
Best of Game,9,0,0,0,0.0
Futsal Collection,5,0,0,0,0.0
McDonalds Collection 2011,12,0,0,0,0.0
McDonalds Collection 2012,12,0,0,0,0.0
McDonalds Collection 2014,12,0,0,0,0.0
McDonalds Collection 2015,12,0,0,0,0.0
McDonalds Collection 2016,12,0,0,0,0.0
McDonalds Collection 2017,12,0,0,0,0.0
McDonalds Collection 2018,12,0,0,0,0.0
McDonalds Collection 2019,12,0,0,0,0.0
McDonalds Collection 2021,25,0,0,0,0.0
McDonalds Collection 2022,15,0,0,0,0.0
Scarlet and Violet Energies,16,7,0,7,43.75
Mega Evolution,188,89,0,89,47.34
Expedition Base Set,165,81,0,81,49.09
Chaos Rising,122,61,0,61,50.0
Team Magma vs Team Aqua,97,50,0,50,51.55
Perfect Order,124,66,0,66,53.23
Ruby and Sapphire,109,59,0,59,54.13
Surging Sparks,252,137,0,137,54.37
Nintendo Black Star Promos,40,22,0,22,55.0
Dragon,100,57,0,57,57.0
Phantasmal Flames,130,75,0,75,57.69
Destined Rivals,244,145,0,145,59.43
151,207,130,0,130,62.8
Prismatic Evolutions,180,117,0,117,65.0
Roaring Skies,112,73,0,73,65.18
Stellar Crown,175,118,0,118,67.43
Ancient Origins,101,69,0,69,68.32
Journey Together,190,132,0,132,69.47
Generations,117,82,1,82,70.09
BW Black Star Promos,101,71,0,71,70.3
HSUndaunted,91,64,0,64,70.33
Wizards Black Star Promos,53,38,0,38,71.7
Obsidian Flames,230,165,0,165,71.74
Primal Clash,164,121,0,121,73.78
Ultra Prism,178,132,0,132,74.16
Sword and Shield,216,162,0,162,75.0
EX Trainer Kit 2 Minun,12,9,0,9,75.0
EX Trainer Kit 2 Plusle,12,9,0,9,75.0
HGSS Black Star Promos,25,19,0,19,76.0
Skyridge,182,140,0,140,76.92
Flashfire,110,85,0,85,77.27
SM Black Star Promos,251,194,0,194,77.29
Aquapolis,182,144,0,144,79.12
EX Trainer Kit Latias,10,8,0,8,80.0
EX Trainer Kit Latios,10,8,0,8,80.0
Legendary Treasures,140,113,0,113,80.71
XY Black Star Promos,216,175,0,175,81.02
SWSH Black Star Promos,304,247,0,247,81.25
HSUnleashed,96,78,0,78,81.25
Lost Thunder,240,195,0,195,81.25
Ascended Heroes,295,240,106,106,81.36
Fates Collide,129,105,0,105,81.4
Delta Species,114,93,0,93,81.58
Sandstorm,100,82,0,82,82.0
Unseen Forces,145,119,0,119,82.07
BREAKthrough,165,136,0,136,82.42
Forbidden Light,150,125,0,125,83.33
Crystal Guardians,100,84,0,84,84.0
Emerald,107,90,0,90,84.11
Hidden Legends,102,86,0,86,84.31
Team Rocket Returns,111,94,0,94,84.68
Phantom Forces,124,105,0,105,84.68
Celestial Storm,187,159,0,159,85.03
HSTriumphant,103,88,0,88,85.44
Unified Minds,261,225,0,225,86.21
HeartGold and SoulSilver,124,107,0,107,86.29
XY,146,126,0,126,86.3
Unbroken Bonds,238,206,0,206,86.55
Dragon Frontiers,101,88,0,88,87.13
Team Up,198,173,0,173,87.37
Deoxys,108,95,0,95,87.96
Furious Fists,114,101,0,101,88.6
Call of Legends,106,94,0,94,88.68
Crown Zenith,160,142,0,142,88.75
Arceus,111,99,0,99,89.19
DP Black Star Promos,56,50,0,50,89.29
Guardians Rising,180,161,0,161,89.44
FireRed and LeafGreen,116,104,0,104,89.66
Scarlet and Violet Black Star Promos,165,149,21,149,90.3
Dragon Vault,21,19,0,19,90.48
Fusion Strike,284,257,0,257,90.49
Astral Radiance,216,196,0,196,90.74
Cosmic Eclipse,272,248,0,248,91.18
Lost Origin,217,199,0,199,91.71
Celebrations,25,23,0,23,92.0
Dragon Majesty,80,74,0,74,92.5
Holon Phantoms,111,103,0,103,92.79
Paldea Evolved,279,261,0,261,93.55
Sun and Moon,173,162,0,162,93.64
Burning Shadows,177,166,0,166,93.79
Platinum,133,125,0,125,93.98
Brilliant Stars,186,175,0,175,94.09
POP Series 5,17,16,0,16,94.12
BREAKpoint,126,119,0,119,94.44
Evolving Skies,237,224,0,224,94.51
Battle Styles,183,173,0,173,94.54
Champions Path,80,76,0,76,95.0
Base,102,97,0,97,95.1
Chilling Reign,233,222,0,222,95.28
Silver Tempest,215,206,0,206,95.81
Celebrations Classic Collection,25,24,0,24,96.0
Noble Victories,102,98,0,98,96.08
Base Set 2,130,125,0,125,96.15
Shining Legends,81,78,0,78,96.3
Brilliant Stars Trainer Gallery,30,29,0,29,96.67
Rising Rivals,120,116,0,116,96.67
Dragons Exalted,128,124,0,124,96.88
Paradox Rift,266,258,0,258,96.99
Stormfront,106,103,0,103,97.17
Legendary Collection,110,107,0,107,97.27
Neo Destiny,113,110,0,110,97.35
Steam Siege,116,113,0,113,97.41
Darkness Ablaze,201,196,0,196,97.51
Plasma Freeze,122,119,0,119,97.54
Team Rocket,83,81,0,81,97.59
Crimson Invasion,126,123,0,123,97.62
Scarlet and Violet,258,252,0,252,97.67
Gym Challenge,132,129,0,129,97.73
Plasma Storm,138,135,0,135,97.83
Hidden Fates Shiny Vault,94,92,0,92,97.87
Paldean Fates,245,240,0,240,97.96
Supreme Victors,153,150,0,150,98.04
Rebel Clash,209,205,0,205,98.09
Neo Genesis,111,109,0,109,98.2
Evolutions,113,111,0,111,98.23
Black Bolt,172,169,0,169,98.26
Mysterious Treasures,124,122,0,122,98.39
Jungle,64,63,0,63,98.44
Gym Heroes,132,130,0,130,98.48
Crown Zenith Galarian Gallery,70,69,0,69,98.57
Temporal Forces,218,215,0,215,98.62
Legends Awakened,146,144,0,144,98.63
Twilight Masquerade,226,223,0,223,98.67
GO,88,87,3,87,98.86
Vivid Voltage,203,201,0,201,99.01
Plasma Blast,105,104,0,104,99.05
Power Keepers,108,107,0,107,99.07
Dark Explorers,111,110,0,110,99.1
Black and White,115,114,0,114,99.13
Diamond and Pearl,130,129,0,129,99.23
Secret Wonders,132,131,0,131,99.24
Boundaries Crossed,153,152,0,152,99.35
White Flare,173,172,0,172,99.42
Astral Radiance Trainer Gallery,30,30,0,30,100.0
Lost Origin Trainer Gallery,30,30,0,30,100.0
Shining Fates Shiny Vault,122,122,0,122,100.0
Shining Fates,73,73,0,73,100.0
Shrouded Fable,99,99,0,99,100.0
Silver Tempest Trainer Gallery,30,30,0,30,100.0
Fossil,62,62,0,62,100.0
Emerging Powers,98,98,0,98,100.0
Next Destinies,103,103,0,103,100.0
Great Encounters,106,106,0,106,100.0
Majestic Dawn,100,100,0,100,100.0
Legend Maker,93,93,0,93,100.0
Neo Discovery,75,75,0,75,100.0
Neo Revelation,66,66,0,66,100.0
Rumble,16,16,0,16,100.0
Southern Islands,18,18,0,18,100.0
POP Series 1,17,17,2,17,100.0
POP Series 2,17,17,1,17,100.0
POP Series 3,17,17,1,17,100.0
POP Series 4,17,17,0,17,100.0
POP Series 6,17,17,1,17,100.0
POP Series 7,17,17,0,17,100.0
POP Series 8,17,17,1,17,100.0
POP Series 9,17,17,0,17,100.0
Detective Pikachu,18,18,0,18,100.0
Hidden Fates,69,69,0,69,100.0
Double Crisis,34,34,0,34,100.0
Kalos Starter Set,39,39,0,39,100.0
