catalog_set,card_count,coverage_pct,top_tcgtracking_candidates
BW Black Star Promos,101,0.0,Black and White Promos; SV: Black Bolt; SM Promos; XY Promos; Black and White
Base,102,0.0,SV01: Scarlet & Violet Base Set; SWSH01: Sword & Shield Base Set; SM Base Set; XY Base Set; Base Set 2
Best of Game,9,0.0,Best of Promos; Call of Legends; Trading Card Game Classic
DP Black Star Promos,56,0.0,Black and White Promos; SV: Black Bolt; SM Promos; XY Promos; Black and White
EX Trainer Kit 2 Minun,12,0.0,EX Trainer Kit 2: Plusle & Minun; EX Trainer Kit 1: Latias & Latios; Base Set 2; XY Trainer Kit: Sylveon & Noivern; XY Trainer Kit: Pikachu Libre & Suicune
EX Trainer Kit 2 Plusle,12,0.0,EX Trainer Kit 2: Plusle & Minun; EX Trainer Kit 1: Latias & Latios; Base Set 2; XY Trainer Kit: Sylveon & Noivern; XY Trainer Kit: Pikachu Libre & Suicune
EX Trainer Kit Latias,10,0.0,EX Trainer Kit 1: Latias & Latios; EX Trainer Kit 2: Plusle & Minun; XY Trainer Kit: Latias & Latios; XY Trainer Kit: Sylveon & Noivern; XY Trainer Kit: Pikachu Libre & Suicune
EX Trainer Kit Latios,10,0.0,EX Trainer Kit 1: Latias & Latios; EX Trainer Kit 2: Plusle & Minun; XY Trainer Kit: Latias & Latios; XY Trainer Kit: Sylveon & Noivern; XY Trainer Kit: Pikachu Libre & Suicune
Expedition Base Set,165,0.0,SV01: Scarlet & Violet Base Set; SWSH01: Sword & Shield Base Set; SM Base Set; XY Base Set; Base Set 2
Futsal Collection,5,0.0,Legendary Collection; Generations: Radiant Collection; Legendary Treasures: Radiant Collection; Celebrations: Classic Collection; Pikachu World Collection Promos
HGSS Black Star Promos,25,0.0,Black and White Promos; HGSS Promos; SV: Black Bolt; SM Promos; XY Promos
HSTriumphant,103,0.0,
HSUndaunted,91,0.0,
HSUnleashed,96,0.0,
McDonalds Collection 2011,12,0.0,Legendary Collection; Generations: Radiant Collection; Legendary Treasures: Radiant Collection; Celebrations: Classic Collection; Pikachu World Collection Promos
McDonalds Collection 2012,12,0.0,Legendary Collection; Generations: Radiant Collection; Legendary Treasures: Radiant Collection; Celebrations: Classic Collection; Pikachu World Collection Promos
McDonalds Collection 2014,12,0.0,Legendary Collection; Generations: Radiant Collection; Legendary Treasures: Radiant Collection; Celebrations: Classic Collection; Pikachu World Collection Promos
McDonalds Collection 2015,12,0.0,Legendary Collection; Generations: Radiant Collection; Legendary Treasures: Radiant Collection; Celebrations: Classic Collection; Pikachu World Collection Promos
McDonalds Collection 2016,12,0.0,Legendary Collection; Generations: Radiant Collection; Legendary Treasures: Radiant Collection; Celebrations: Classic Collection; Pikachu World Collection Promos
McDonalds Collection 2017,12,0.0,Legendary Collection; Generations: Radiant Collection; Legendary Treasures: Radiant Collection; Celebrations: Classic Collection; Pikachu World Collection Promos
McDonalds Collection 2018,12,0.0,Legendary Collection; Generations: Radiant Collection; Legendary Treasures: Radiant Collection; Celebrations: Classic Collection; Pikachu World Collection Promos
McDonalds Collection 2019,12,0.0,Legendary Collection; Generations: Radiant Collection; Legendary Treasures: Radiant Collection; Celebrations: Classic Collection; Pikachu World Collection Promos
McDonalds Collection 2021,25,0.0,Legendary Collection; Generations: Radiant Collection; Legendary Treasures: Radiant Collection; Celebrations: Classic Collection; Pikachu World Collection Promos
McDonalds Collection 2022,15,0.0,Battle Academy 2022; Legendary Collection; Generations: Radiant Collection; Legendary Treasures: Radiant Collection; Celebrations: Classic Collection
Nintendo Black Star Promos,40,0.0,Black and White Promos; Nintendo Promos; SV: Black Bolt; SM Promos; XY Promos
Scarlet and Violet Energies,16,0.0,SVE: Scarlet & Violet Energies; SV01: Scarlet & Violet Base Set; SV: Scarlet & Violet Promo Cards; SV: Scarlet & Violet 151; Miscellaneous Cards & Products
Sun and Moon,173,0.0,Miscellaneous Cards & Products; League & Championship Cards; SWSH: Sword & Shield Promo Cards; SV01: Scarlet & Violet Base Set; SWSH01: Sword & Shield Base Set
XY,146,0.0,XY Promos; XY - BREAKthrough; XY Base Set; XY - Primal Clash; XY - Evolutions
