putnam_card_id,catalog_set,card_name,printed_number,product_id,product_name,status,score
pkm-151-1-165-9004d1f25f,151,Bulbasaur,1/165,502552,Bulbasaur - 001/165,SKIP_NAME_MISMATCH,0.33
pkm-151-2-165-c2f2e1b91f,151,Ivysaur,2/165,502553,Ivysaur - 002/165,SKIP_NAME_MISMATCH,0.33
pkm-151-3-165-a4dc2af528,151,Venusaur ex,3/165,502554,Venusaur ex - 003/165,SKIP_NAME_MISMATCH,0.50
pkm-151-4-165-67266d5841,151,Charmander,4/165,502555,Charmander - 004/165,SKIP_NAME_MISMATCH,0.33
pkm-151-5-165-297a51ce96,151,Charmeleon,5/165,502557,Charmeleon - 005/165,SKIP_NAME_MISMATCH,0.33
pkm-151-6-165-d9226ced1b,151,Charizard ex,6/165,502558,Charizard ex - 006/165,SKIP_NAME_MISMATCH,0.50
pkm-151-7-165-73ca76a6e7,151,Squirtle,7/165,502548,Squirtle - 007/165,SKIP_NAME_MISMATCH,0.33
pkm-151-8-165-b2027d71ae,151,Wartortle,8/165,502550,Wartortle - 008/165,SKIP_NAME_MISMATCH,0.33
pkm-151-9-165-369a2f4e2c,151,Blastoise ex,9/165,502551,Blastoise ex - 009/165,SKIP_NAME_MISMATCH,0.50
pkm-151-10-165-8c34ea2fdb,151,Caterpie,10/165,502559,Caterpie - 010/165,SKIP_NAME_MISMATCH,0.33
pkm-151-11-165-cc8726936c,151,Metapod,11/165,502560,Metapod,LINKED,1.00
pkm-151-12-165-39d8cb25f9,151,Butterfree,12/165,502561,Butterfree,LINKED,1.00
pkm-151-13-165-ff1a298fcd,151,Weedle,13/165,502562,Weedle,LINKED,1.00
pkm-151-14-165-f6b9cf30aa,151,Kakuna,14/165,502563,Kakuna,LINKED,1.00
pkm-151-15-165-7546ca168a,151,Beedrill,15/165,502564,Beedrill,LINKED,1.00
pkm-151-16-165-a971318e97,151,Pidgey,16/165,502565,Pidgey,LINKED,1.00
pkm-151-17-165-4c46cb55ba,151,Pidgeotto,17/165,502566,Pidgeotto,LINKED,1.00
pkm-151-18-165-eba92580f0,151,Pidgeot,18/165,502567,Pidgeot,LINKED,1.00
pkm-151-19-165-fb13582058,151,Rattata,19/165,502568,Rattata,LINKED,1.00
pkm-151-20-165-53ca288ee8,151,Raticate,20/165,502569,Raticate,LINKED,1.00
pkm-151-21-165-b2267fd0f1,151,Spearow,21/165,502587,Spearow,LINKED,1.00
pkm-151-22-165-f886814ba8,151,Fearow,22/165,502589,Fearow,LINKED,1.00
pkm-151-23-165-25b7ee9670,151,Ekans,23/165,515955,Ekans,LINKED,1.00
pkm-151-24-165-4a37d50f74,151,Arbok ex,24/165,515956,Arbok ex - 024/165,SKIP_NAME_MISMATCH,0.50
pkm-151-25-165-5f4c4cd625,151,Pikachu,25/165,517033,Pikachu - 025/165,SKIP_NAME_MISMATCH,0.33
pkm-151-26-165-f0500d33f3,151,Raichu,26/165,515957,Raichu,LINKED,1.00
pkm-151-27-165-bc9c79357f,151,Sandshrew,27/165,515978,Sandshrew,LINKED,1.00
pkm-151-28-165-5117c60688,151,Sandslash,28/165,515989,Sandslash,LINKED,1.00
pkm-151-29-165-95d2e3c958,151,Nidoran ♀,29/165,515994,Nidoran F,SKIP_NAME_MISMATCH,0.50
pkm-151-30-165-eb867e963c,151,Nidorina,30/165,516000,Nidorina,LINKED,1.00
pkm-151-31-165-4187b0a233,151,Nidoqueen,31/165,516004,Nidoqueen,LINKED,1.00
pkm-151-32-165-14241a793f,151,Nidoran ♂,32/165,516006,Nidoran M,SKIP_NAME_MISMATCH,0.50
pkm-151-33-165-8a84a6f40e,151,Nidorino,33/165,516016,Nidorino,LINKED,1.00
