putnam_card_id,catalog_set,card_name,printed_number,product_id,product_name,status,score,catalog_norm,product_norm
pkm-black-bolt-12-86-9300c8062a,Black Bolt,Victini,12/86,,,NO_CANDIDATE,
pkm-black-bolt-74-86-d05430c183,Black Bolt,Audino,74/86,642525,Audino - 074/086,LINKED,1.00,audino,audino
pkm-black-bolt-74-86-d05430c183,Black Bolt,Audino,74/86,642693,Audino - 074/086 (Master Ball Pattern),SKIP_NAME_MISMATCH,0.17,audino,audino 074 086 master ball pattern
pkm-black-bolt-74-86-d05430c183,Black Bolt,Audino,74/86,642766,Audino - 074/086 (Poke Ball Pattern),SKIP_NAME_MISMATCH,0.17,audino,audino 074 086 poke ball pattern
pkm-black-bolt-60-86-63c961aaed,Black Bolt,Antique Cover Fossil,60/86,642514,Escavalier,SKIP_NAME_MISMATCH,0.00,antique cover fossil,escavalier
pkm-black-bolt-60-86-63c961aaed,Black Bolt,Antique Cover Fossil,60/86,642683,Escavalier (Master Ball Pattern),SKIP_NAME_MISMATCH,0.00,antique cover fossil,escavalier master ball pattern
pkm-black-bolt-60-86-63c961aaed,Black Bolt,Antique Cover Fossil,60/86,642756,Escavalier (Poke Ball Pattern),SKIP_NAME_MISMATCH,0.00,antique cover fossil,escavalier poke ball pattern
pkm-black-bolt-87-86-91c551aad9,Black Bolt,Snivy,87/86,642536,Snivy - 087/086,LINKED,1.00,snivy,snivy
pkm-black-bolt-88-86-836791b48b,Black Bolt,Servine,88/86,642537,Servine - 088/086,LINKED,1.00,servine,servine
pkm-black-bolt-89-86-2ebdf3bc31,Black Bolt,Pansage,89/86,642538,Pansage - 089/086,LINKED,1.00,pansage,pansage
pkm-black-bolt-90-86-90651d76f4,Black Bolt,Simisage,90/86,642539,Simisage - 090/086,LINKED,1.00,simisage,simisage
pkm-black-bolt-91-86-11328a6f0f,Black Bolt,Petilil,91/86,642540,Petilil - 091/086,LINKED,1.00,petilil,petilil
pkm-black-bolt-92-86-801e1e6828,Black Bolt,Lilligant,92/86,642541,Lilligant - 092/086,LINKED,1.00,lilligant,lilligant
pkm-black-bolt-93-86-db61a7fe44,Black Bolt,Maractus,93/86,642542,Maractus - 093/086,LINKED,1.00,maractus,maractus
pkm-black-bolt-94-86-5edcff439e,Black Bolt,Karrablast,94/86,642543,Karrablast - 094/086,LINKED,1.00,karrablast,karrablast
pkm-black-bolt-95-86-922af18af5,Black Bolt,Foongus,95/86,642544,Foongus - 095/086,LINKED,1.00,foongus,foongus
pkm-black-bolt-96-86-0595853ffa,Black Bolt,Amoonguss,96/86,642545,Amoonguss - 096/086,LINKED,1.00,amoonguss,amoonguss
pkm-black-bolt-97-86-cb7008ac33,Black Bolt,Darumaka,97/86,642547,Darumaka - 097/086,LINKED,1.00,darumaka,darumaka
pkm-black-bolt-98-86-94f53af50b,Black Bolt,Darmanitan,98/86,642548,Darmanitan - 098/086,LINKED,1.00,darmanitan,darmanitan
pkm-black-bolt-99-86-214d0077a8,Black Bolt,Larvesta,99/86,642552,Larvesta - 099/086,LINKED,1.00,larvesta,larvesta
pkm-black-bolt-100-86-f1c929dc27,Black Bolt,Volcarona,100/86,642553,Volcarona - 100/086,LINKED,1.00,volcarona,volcarona
pkm-black-bolt-101-86-21699e7c7c,Black Bolt,Panpour,101/86,642554,Panpour - 101/086,LINKED,1.00,panpour,panpour
pkm-black-bolt-102-86-1f39846edd,Black Bolt,Simipour,102/86,642555,Simipour - 102/086,LINKED,1.00,simipour,simipour
pkm-black-bolt-103-86-d8962bc7ca,Black Bolt,Tympole,103/86,642556,Tympole - 103/086,LINKED,1.00,tympole,tympole
pkm-black-bolt-104-86-2b1b63834b,Black Bolt,Palpitoad,104/86,642557,Palpitoad - 104/086,LINKED,1.00,palpitoad,palpitoad
pkm-black-bolt-105-86-50c7d850e9,Black Bolt,Seismitoad,105/86,642558,Seismitoad - 105/086,LINKED,1.00,seismitoad,seismitoad
pkm-black-bolt-106-86-183b21e350,Black Bolt,Tirtouga,106/86,642559,Tirtouga - 106/086,LINKED,1.00,tirtouga,tirtouga
pkm-black-bolt-107-86-bea58e595d,Black Bolt,Carracosta,107/86,642560,Carracosta - 107/086,LINKED,1.00,carracosta,carracosta
pkm-black-bolt-108-86-399eec34a8,Black Bolt,Alomomola,108/86,642561,Alomomola - 108/086,LINKED,1.00,alomomola,alomomola
pkm-black-bolt-109-86-fb84b5c5e0,Black Bolt,Cubchoo,109/86,642562,Cubchoo - 109/086,LINKED,1.00,cubchoo,cubchoo
pkm-black-bolt-110-86-348405e931,Black Bolt,Beartic,110/86,642563,Beartic - 110/086,LINKED,1.00,beartic,beartic
pkm-black-bolt-111-86-6cfd1642ec,Black Bolt,Cryogonal,111/86,642564,Cryogonal - 111/086,LINKED,1.00,cryogonal,cryogonal
pkm-black-bolt-112-86-1a8ada261e,Black Bolt,Emolga,112/86,642565,Emolga - 112/086,LINKED,1.00,emolga,emolga
pkm-black-bolt-113-86-87c582fadf,Black Bolt,Tynamo,113/86,642566,Tynamo - 113/086,LINKED,1.00,tynamo,tynamo
pkm-black-bolt-114-86-862d77c04e,Black Bolt,Eelektrik,114/86,642567,Eelektrik - 114/086,LINKED,1.00,eelektrik,eelektrik
pkm-black-bolt-115-86-1688d7f90a,Black Bolt,Eelektross,115/86,642568,Eelektross - 115/086,LINKED,1.00,eelektross,eelektross
pkm-black-bolt-116-86-c3f3286e8f,Black Bolt,Munna,116/86,642570,Munna - 116/086,LINKED,1.00,munna,munna
pkm-black-bolt-117-86-e84ccfaa22,Black Bolt,Musharna,117/86,642571,Musharna - 117/086,LINKED,1.00,musharna,musharna
pkm-black-bolt-118-86-ed70d48638,Black Bolt,Solosis,118/86,642572,Solosis - 118/086,LINKED,1.00,solosis,solosis
pkm-black-bolt-119-86-dcfb3eb27c,Black Bolt,Duosion,119/86,642573,Duosion - 119/086,LINKED,1.00,duosion,duosion
pkm-black-bolt-120-86-eb7920eb2a,Black Bolt,Elgyem,120/86,642575,Elgyem - 120/086,LINKED,1.00,elgyem,elgyem
pkm-black-bolt-121-86-5d01096f3c,Black Bolt,Beheeyem,121/86,642576,Beheeyem - 121/086,LINKED,1.00,beheeyem,beheeyem
pkm-black-bolt-122-86-7ff3e66480,Black Bolt,Golett,122/86,642577,Golett - 122/086,LINKED,1.00,golett,golett
pkm-black-bolt-123-86-68233616c7,Black Bolt,Golurk,123/86,642578,Golurk - 123/086,LINKED,1.00,golurk,golurk
pkm-black-bolt-124-86-8e954f14dc,Black Bolt,Drilbur,124/86,642579,Drilbur - 124/086,LINKED,1.00,drilbur,drilbur
pkm-black-bolt-125-86-207795d4f7,Black Bolt,Timburr,125/86,642580,Timburr - 125/086,LINKED,1.00,timburr,timburr
pkm-black-bolt-126-86-a285e2cbeb,Black Bolt,Gurdurr,126/86,642581,Gurdurr - 126/086,LINKED,1.00,gurdurr,gurdurr
pkm-black-bolt-127-86-9ee242b186,Black Bolt,Conkeldurr,127/86,642582,Conkeldurr - 127/086,LINKED,1.00,conkeldurr,conkeldurr
pkm-black-bolt-128-86-c12cb144e2,Black Bolt,Throh,128/86,642583,Throh - 128/086,LINKED,1.00,throh,throh
pkm-black-bolt-129-86-d65fbfcb35,Black Bolt,Dwebble,129/86,642584,Dwebble - 129/086,LINKED,1.00,dwebble,dwebble
pkm-black-bolt-130-86-3277bf778f,Black Bolt,Crustle,130/86,642585,Crustle - 130/086,LINKED,1.00,crustle,crustle
pkm-black-bolt-131-86-bea43ff83c,Black Bolt,Landorus,131/86,642586,Landorus - 131/086,LINKED,1.00,landorus,landorus
pkm-black-bolt-132-86-4d427670b0,Black Bolt,Venipede,132/86,642587,Venipede - 132/086,LINKED,1.00,venipede,venipede
pkm-black-bolt-133-86-ce20bec990,Black Bolt,Whirlipede,133/86,642588,Whirlipede - 133/086,LINKED,1.00,whirlipede,whirlipede
pkm-black-bolt-134-86-dbd62b88d6,Black Bolt,Scolipede,134/86,642589,Scolipede - 134/086,LINKED,1.00,scolipede,scolipede
pkm-black-bolt-135-86-4d6a631d43,Black Bolt,Sandile,135/86,642590,Sandile - 135/086,LINKED,1.00,sandile,sandile
pkm-black-bolt-136-86-25be6f80d0,Black Bolt,Krokorok,136/86,642591,Krokorok - 136/086,LINKED,1.00,krokorok,krokorok
pkm-black-bolt-137-86-8f1cad3e50,Black Bolt,Krookodile,137/86,642592,Krookodile - 137/086,LINKED,1.00,krookodile,krookodile
pkm-black-bolt-138-86-eb8af3f230,Black Bolt,Escavalier,138/86,642595,Escavalier - 138/086,LINKED,1.00,escavalier,escavalier
