putnam_card_id,card_name,printed_number,product_id,product_name,status,name_similarity
"pkm-ascended-heroes-1-217-20be83b6d7","Erika's Oddish","1/217","675813","Erika's Oddish","LINKED","1.00"
"pkm-ascended-heroes-1-217-20be83b6d7","Erika's Oddish","1/217","676992","Erika's Oddish (Energy Symbol Pattern)","LINKED","0.50"
"pkm-ascended-heroes-1-217-20be83b6d7","Erika's Oddish","1/217","676852","Erika's Oddish (Poke Ball)","LINKED","0.60"
"pkm-ascended-heroes-2-217-64992d69a3","Erika's Gloom","2/217","675814","Erika's Gloom","LINKED","1.00"
"pkm-ascended-heroes-2-217-64992d69a3","Erika's Gloom","2/217","676993","Erika's Gloom (Energy Symbol Pattern)","LINKED","0.50"
"pkm-ascended-heroes-2-217-64992d69a3","Erika's Gloom","2/217","676853","Erika's Gloom (Poke Ball)","LINKED","0.60"
"pkm-ascended-heroes-3-217-95611996cf","Erika's Vileplume ex","3/217","675815","Erika's Vileplume ex","LINKED","1.00"
"pkm-ascended-heroes-4-217-abafbc96d3","Erika's Bellsprout","4/217","675816","Erika's Bellsprout","LINKED","1.00"
"pkm-ascended-heroes-4-217-abafbc96d3","Erika's Bellsprout","4/217","676994","Erika's Bellsprout (Energy Symbol Pattern)","LINKED","0.50"
"pkm-ascended-heroes-4-217-abafbc96d3","Erika's Bellsprout","4/217","676854","Erika's Bellsprout (Poke Ball)","LINKED","0.60"
"pkm-ascended-heroes-5-217-94a8ead357","Erika's Weepinbell","5/217","675817","Erika's Weepinbell","LINKED","1.00"
"pkm-ascended-heroes-5-217-94a8ead357","Erika's Weepinbell","5/217","676995","Erika's Weepinbell (Energy Symbol Pattern)","LINKED","0.50"
"pkm-ascended-heroes-5-217-94a8ead357","Erika's Weepinbell","5/217","676855","Erika's Weepinbell (Poke Ball)","LINKED","0.60"
"pkm-ascended-heroes-6-217-13869805ca","Erika's Victreebel","6/217","675818","Erika's Victreebel","LINKED","1.00"
"pkm-ascended-heroes-6-217-13869805ca","Erika's Victreebel","6/217","676996","Erika's Victreebel (Energy Symbol Pattern)","LINKED","0.50"
"pkm-ascended-heroes-6-217-13869805ca","Erika's Victreebel","6/217","676856","Erika's Victreebel (Poke Ball)","LINKED","0.60"
"pkm-ascended-heroes-7-217-74082742a5","Erika's Tangela","7/217","675819","Erika's Tangela - 007/217","LINKED","0.60"
"pkm-ascended-heroes-7-217-74082742a5","Erika's Tangela","7/217","676997","Erika's Tangela - 007/217 (Energy Symbol Pattern)","SKIPPED_LOW_NAME_SIMILARITY","0.38"
"pkm-ascended-heroes-7-217-74082742a5","Erika's Tangela","7/217","676857","Erika's Tangela - 007/217 (Poke Ball)","SKIPPED_LOW_NAME_SIMILARITY","0.43"
"pkm-ascended-heroes-8-217-6b7ed18403","Chikorita","8/217","675820","Chikorita","LINKED","1.00"
"pkm-ascended-heroes-8-217-6b7ed18403","Chikorita","8/217","676998","Chikorita (Energy Symbol Pattern)","SKIPPED_LOW_NAME_SIMILARITY","0.25"
"pkm-ascended-heroes-8-217-6b7ed18403","Chikorita","8/217","676858","Chikorita (Friend Ball)","SKIPPED_LOW_NAME_SIMILARITY","0.33"
"pkm-ascended-heroes-9-217-6c65becbdc","Bayleef","9/217","675821","Bayleef","LINKED","1.00"
"pkm-ascended-heroes-9-217-6c65becbdc","Bayleef","9/217","676999","Bayleef (Energy Symbol Pattern)","SKIPPED_LOW_NAME_SIMILARITY","0.25"
"pkm-ascended-heroes-9-217-6c65becbdc","Bayleef","9/217","676859","Bayleef (Friend Ball)","SKIPPED_LOW_NAME_SIMILARITY","0.33"
"pkm-ascended-heroes-10-217-ba3312c9f7","Mega Meganium ex","10/217","675822","Mega Meganium ex - 010/217","LINKED","0.60"
"pkm-ascended-heroes-11-217-80ad06d110","Wurmple","11/217","675823","Wurmple","LINKED","1.00"
"pkm-ascended-heroes-11-217-80ad06d110","Wurmple","11/217","677000","Wurmple (Energy Symbol Pattern)","SKIPPED_LOW_NAME_SIMILARITY","0.25"
"pkm-ascended-heroes-11-217-80ad06d110","Wurmple","11/217","676860","Wurmple (Love Ball)","SKIPPED_LOW_NAME_SIMILARITY","0.33"
"pkm-ascended-heroes-12-217-ad8ba04a39","Silcoon","12/217","675824","Silcoon","LINKED","1.00"
"pkm-ascended-heroes-12-217-ad8ba04a39","Silcoon","12/217","677001","Silcoon (Energy Symbol Pattern)","SKIPPED_LOW_NAME_SIMILARITY","0.25"
"pkm-ascended-heroes-12-217-ad8ba04a39","Silcoon","12/217","676861","Silcoon (Love Ball)","SKIPPED_LOW_NAME_SIMILARITY","0.33"
"pkm-ascended-heroes-13-217-139ff09989","Beautifly","13/217","675825","Beautifly - 013/217","SKIPPED_LOW_NAME_SIMILARITY","0.33"
"pkm-ascended-heroes-13-217-139ff09989","Beautifly","13/217","677002","Beautifly - 013/217 (Energy Symbol Pattern)","SKIPPED_LOW_NAME_SIMILARITY","0.17"
"pkm-ascended-heroes-13-217-139ff09989","Beautifly","13/217","676862","Beautifly - 013/217 (Love Ball)","SKIPPED_LOW_NAME_SIMILARITY","0.20"
"pkm-ascended-heroes-14-217-be589f48df","Cascoon","14/217","675826","Cascoon","LINKED","1.00"
"pkm-ascended-heroes-14-217-be589f48df","Cascoon","14/217","677003","Cascoon (Energy Symbol Pattern)","SKIPPED_LOW_NAME_SIMILARITY","0.25"
"pkm-ascended-heroes-14-217-be589f48df","Cascoon","14/217","676863","Cascoon (Love Ball)","SKIPPED_LOW_NAME_SIMILARITY","0.33"
"pkm-ascended-heroes-15-217-5ea9dbbb05","Dustox","15/217","675827","Dustox - 015/217","SKIPPED_LOW_NAME_SIMILARITY","0.33"
"pkm-ascended-heroes-15-217-5ea9dbbb05","Dustox","15/217","677004","Dustox - 015/217 (Energy Symbol Pattern)","SKIPPED_LOW_NAME_SIMILARITY","0.17"
"pkm-ascended-heroes-15-217-5ea9dbbb05","Dustox","15/217","676864","Dustox - 015/217 (Love Ball)","SKIPPED_LOW_NAME_SIMILARITY","0.20"
"pkm-ascended-heroes-16-217-cfeddaf41d","Budew","16/217","675828","Budew - 016/217","SKIPPED_LOW_NAME_SIMILARITY","0.33"
"pkm-ascended-heroes-16-217-cfeddaf41d","Budew","16/217","677005","Budew - 016/217 (Energy Symbol Pattern)","SKIPPED_LOW_NAME_SIMILARITY","0.17"
"pkm-ascended-heroes-16-217-cfeddaf41d","Budew","16/217","676865","Budew - 016/217 (Friend Ball)","SKIPPED_LOW_NAME_SIMILARITY","0.20"
"pkm-ascended-heroes-17-217-8a7d78a5ed","Grubbin","17/217","675829","Grubbin","LINKED","1.00"
"pkm-ascended-heroes-17-217-8a7d78a5ed","Grubbin","17/217","677006","Grubbin (Energy Symbol Pattern)","SKIPPED_LOW_NAME_SIMILARITY","0.25"
"pkm-ascended-heroes-17-217-8a7d78a5ed","Grubbin","17/217","676866","Grubbin (Quick Ball)","SKIPPED_LOW_NAME_SIMILARITY","0.33"
"pkm-ascended-heroes-18-217-75bd139886","Team Rocket's Tarountula","18/217","675830","Team Rocket's Tarountula","LINKED","1.00"
"pkm-ascended-heroes-18-217-75bd139886","Team Rocket's Tarountula","18/217","677007","Team Rocket's Tarountula (Energy Symbol Pattern)","LINKED","0.57"
