putnam_card_id,set_name,card_name,printed_number,product_id,product_name,status
pkm-ascended-heroes-1-217-20be83b6d7,Ascended Heroes,Erika's Oddish,1/217,675813,Erika's Oddish,LINKED
pkm-ascended-heroes-1-217-20be83b6d7,Ascended Heroes,Erika's Oddish,1/217,676992,Erika's Oddish (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-1-217-20be83b6d7,Ascended Heroes,Erika's Oddish,1/217,676852,Erika's Oddish (Poke Ball),LINKED
pkm-ascended-heroes-2-217-64992d69a3,Ascended Heroes,Erika's Gloom,2/217,675814,Erika's Gloom,LINKED
pkm-ascended-heroes-2-217-64992d69a3,Ascended Heroes,Erika's Gloom,2/217,676993,Erika's Gloom (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-2-217-64992d69a3,Ascended Heroes,Erika's Gloom,2/217,676853,Erika's Gloom (Poke Ball),LINKED
pkm-ascended-heroes-3-217-95611996cf,Ascended Heroes,Erika's Vileplume ex,3/217,675815,Erika's Vileplume ex,LINKED
pkm-ascended-heroes-4-217-abafbc96d3,Ascended Heroes,Erika's Bellsprout,4/217,675816,Erika's Bellsprout,LINKED
pkm-ascended-heroes-4-217-abafbc96d3,Ascended Heroes,Erika's Bellsprout,4/217,676994,Erika's Bellsprout (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-4-217-abafbc96d3,Ascended Heroes,Erika's Bellsprout,4/217,676854,Erika's Bellsprout (Poke Ball),LINKED
pkm-ascended-heroes-5-217-94a8ead357,Ascended Heroes,Erika's Weepinbell,5/217,675817,Erika's Weepinbell,LINKED
pkm-ascended-heroes-5-217-94a8ead357,Ascended Heroes,Erika's Weepinbell,5/217,676995,Erika's Weepinbell (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-5-217-94a8ead357,Ascended Heroes,Erika's Weepinbell,5/217,676855,Erika's Weepinbell (Poke Ball),LINKED
pkm-ascended-heroes-6-217-13869805ca,Ascended Heroes,Erika's Victreebel,6/217,675818,Erika's Victreebel,LINKED
pkm-ascended-heroes-6-217-13869805ca,Ascended Heroes,Erika's Victreebel,6/217,676996,Erika's Victreebel (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-6-217-13869805ca,Ascended Heroes,Erika's Victreebel,6/217,676856,Erika's Victreebel (Poke Ball),LINKED
pkm-ascended-heroes-7-217-74082742a5,Ascended Heroes,Erika's Tangela,7/217,675819,Erika's Tangela - 007/217,SKIP_NAME_MISMATCH
pkm-ascended-heroes-7-217-74082742a5,Ascended Heroes,Erika's Tangela,7/217,676997,Erika's Tangela - 007/217 (Energy Symbol Pattern),SKIP_NAME_MISMATCH
pkm-ascended-heroes-7-217-74082742a5,Ascended Heroes,Erika's Tangela,7/217,676857,Erika's Tangela - 007/217 (Poke Ball),SKIP_NAME_MISMATCH
pkm-ascended-heroes-8-217-6b7ed18403,Ascended Heroes,Chikorita,8/217,675820,Chikorita,LINKED
pkm-ascended-heroes-8-217-6b7ed18403,Ascended Heroes,Chikorita,8/217,676998,Chikorita (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-8-217-6b7ed18403,Ascended Heroes,Chikorita,8/217,676858,Chikorita (Friend Ball),LINKED
pkm-ascended-heroes-9-217-6c65becbdc,Ascended Heroes,Bayleef,9/217,675821,Bayleef,LINKED
pkm-ascended-heroes-9-217-6c65becbdc,Ascended Heroes,Bayleef,9/217,676999,Bayleef (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-9-217-6c65becbdc,Ascended Heroes,Bayleef,9/217,676859,Bayleef (Friend Ball),LINKED
pkm-ascended-heroes-10-217-ba3312c9f7,Ascended Heroes,Mega Meganium ex,10/217,675822,Mega Meganium ex - 010/217,SKIP_NAME_MISMATCH
pkm-ascended-heroes-11-217-80ad06d110,Ascended Heroes,Wurmple,11/217,675823,Wurmple,LINKED
pkm-ascended-heroes-11-217-80ad06d110,Ascended Heroes,Wurmple,11/217,677000,Wurmple (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-11-217-80ad06d110,Ascended Heroes,Wurmple,11/217,676860,Wurmple (Love Ball),LINKED
