putnam_card_id,catalog_set,card_name,printed_number,product_id,product_name,status,score,catalog_norm,product_norm
pkm-paldean-fates-1-91-7c26a771f7,Paldean Fates,Pineco,1/91,534132,Pineco - 001/091,LINKED,1.00,pineco,pineco
pkm-paldean-fates-2-91-a627c83977,Paldean Fates,Forretress ex,2/91,534133,Forretress ex - 002/091,LINKED,1.00,forretress ex,forretress ex
pkm-paldean-fates-4-91-80bdab189e,Paldean Fates,Toedscool,4/91,534137,Toedscool - 004/091,LINKED,1.00,toedscool,toedscool
pkm-paldean-fates-5-91-4faba8d710,Paldean Fates,Toedscruel ex,5/91,534139,Toedscruel ex - 005/091,LINKED,1.00,toedscruel ex,toedscruel ex
pkm-paldean-fates-6-91-87e6fac393,Paldean Fates,Espathra ex,6/91,534140,Espathra ex - 006/091,LINKED,1.00,espathra ex,espathra ex
pkm-paldean-fates-7-91-44e620ce55,Paldean Fates,Charmander,7/91,534142,Charmander - 007/091,LINKED,1.00,charmander,charmander
pkm-paldean-fates-8-91-399f2f5733,Paldean Fates,Charmeleon,8/91,534143,Charmeleon - 008/091,LINKED,1.00,charmeleon,charmeleon
pkm-paldean-fates-14-91-8193c95374,Paldean Fates,Charcadet,14/91,534155,Charcadet - 014/091,LINKED,1.00,charcadet,charcadet
pkm-paldean-fates-15-91-e4188b2412,Paldean Fates,Armarouge,15/91,534156,Armarouge - 015/091,LINKED,1.00,armarouge,armarouge
pkm-paldean-fates-17-91-5efb416c38,Paldean Fates,Frigibax,17/91,534161,Frigibax - 017/091,LINKED,1.00,frigibax,frigibax
pkm-paldean-fates-18-91-42b5ab9d5c,Paldean Fates,Pikachu,18/91,534163,Pikachu - 018/091,LINKED,1.00,pikachu,pikachu
pkm-paldean-fates-19-91-4b23356aa6,Paldean Fates,Raichu,19/91,534165,Raichu - 019/091,LINKED,1.00,raichu,raichu
pkm-paldean-fates-22-91-f40ce8639e,Paldean Fates,Kilowattrel,22/91,534168,Kilowattrel - 022/091,LINKED,1.00,kilowattrel,kilowattrel
pkm-paldean-fates-25-91-4d27fa7e95,Paldean Fates,Natu,25/91,535993,Natu - 025/091,LINKED,1.00,natu,natu
pkm-paldean-fates-26-91-435d262b16,Paldean Fates,Xatu,26/91,534171,Xatu - 026/091,LINKED,1.00,xatu,xatu
pkm-paldean-fates-27-91-741b5db038,Paldean Fates,Ralts,27/91,534173,Ralts - 027/091,LINKED,1.00,ralts,ralts
pkm-paldean-fates-28-91-05cfeed51e,Paldean Fates,Kirlia,28/91,534174,Kirlia - 028/091,LINKED,1.00,kirlia,kirlia
pkm-paldean-fates-29-91-78948de542,Paldean Fates,Gardevoir ex,29/91,534175,Gardevoir ex - 029/091,LINKED,1.00,gardevoir ex,gardevoir ex
pkm-paldean-fates-31-91-fb82ae589a,Paldean Fates,Mime Jr.,31/91,534177,Mime Jr. - 031/091,LINKED,1.00,mime jr,mime jr
pkm-paldean-fates-37-91-421b9fe1d5,Paldean Fates,Mimikyu,37/91,534183,Mimikyu - 037/091,LINKED,1.00,mimikyu,mimikyu
pkm-paldean-fates-39-91-f56d4b6f0c,Paldean Fates,Dachsbun,39/91,534185,Dachsbun - 039/091,LINKED,1.00,dachsbun,dachsbun
pkm-paldean-fates-40-91-30669fa848,Paldean Fates,Ceruledge,40/91,534186,Ceruledge - 040/091,LINKED,1.00,ceruledge,ceruledge
pkm-paldean-fates-41-91-ac949895fd,Paldean Fates,Flittle,41/91,534187,Flittle - 041/091,LINKED,1.00,flittle,flittle
pkm-paldean-fates-43-91-a7ad4ccbd9,Paldean Fates,Houndstone,43/91,534190,Houndstone - 043/091,LINKED,1.00,houndstone,houndstone
pkm-paldean-fates-45-91-783169055d,Paldean Fates,Mankey,45/91,534192,Mankey - 045/091,LINKED,1.00,mankey,mankey
pkm-paldean-fates-46-91-bed3520f58,Paldean Fates,Primeape,46/91,534194,Primeape - 046/091,LINKED,1.00,primeape,primeape
pkm-paldean-fates-47-91-4477f0e75c,Paldean Fates,Annihilape,47/91,534197,Annihilape - 047/091,LINKED,1.00,annihilape,annihilape
pkm-paldean-fates-54-91-722482636e,Paldean Fates,Charizard ex,54/91,534416,Charizard ex - 054/091,LINKED,1.00,charizard ex,charizard ex
pkm-paldean-fates-58-91-f2d6a61bc1,Paldean Fates,Paldean Wooper,58/91,534420,Paldean Wooper - 058/091,LINKED,1.00,paldean wooper,paldean wooper
pkm-paldean-fates-59-91-bcce78ff50,Paldean Fates,Paldean Clodsire ex,59/91,534421,Paldean Clodsire ex - 059/091,LINKED,1.00,paldean clodsire ex,paldean clodsire ex
pkm-paldean-fates-63-91-5fcdf6f715,Paldean Fates,Mabosstiff,63/91,534425,Mabosstiff - 063/091,LINKED,1.00,mabosstiff,mabosstiff
pkm-paldean-fates-64-91-2978eada97,Paldean Fates,Varoom,64/91,534426,Varoom - 064/091,LINKED,1.00,varoom,varoom
