decision,title,card_name,set,card_number,current_price,suggested_price,confidence,filtered_count,raw_count,last_sale,last3_avg,median_price,query,source,reason,line_no
NO_COMPARABLES,PROFESSOR'S RESEARCH (PROFESSOR OAK) 023/025 CELEBRATIONS HOLO HOLO RARE NM,Professor's Research (Professor Oak),Celebrations,023/025,.99,,0,0,200,,,,Professors Research (Professor Oak) Celebrations 023/025,live,No comparable ungraded/non-lot results after prototype filters.,2
NO_ACTION,LUGIA 022/025 CELEBRATIONS HOLO RARE NM,Lugia,Celebrations,022/025,.99,,90,167,200,1.99,1.57,1.99,Lugia Celebrations 022/025,live,Market signal did not exceed prototype opportunity threshold.,3
NO_ACTION,SOLGALEO 021/025 CELEBRATIONS HOLO HOLO RARE NM,Solgaleo,Celebrations,021/025,.99,,90,177,200,1.79,1.63,1.61,Solgaleo Celebrations 021/025,live,Market signal did not exceed prototype opportunity threshold.,4
NO_ACTION,GROUDON 017/025 CELEBRATIONS HOLO RARE NM,Groudon,Celebrations,017/025,.99,,90,161,200,2.63,1.77,1.58,Groudon Celebrations 017/025,live,Market signal did not exceed prototype opportunity threshold.,5
NO_ACTION,LUNALA 015/025 CELEBRATIONS HOLO HOLO RARE NM,Lunala,Celebrations,015/025,.99,,90,182,200,1.49,1.66,1.49,Lunala Celebrations 015/025,live,Market signal did not exceed prototype opportunity threshold.,6
NO_ACTION,COSMOEM 014/025 CELEBRATIONS HOLO RARE NM,Cosmoem,Celebrations,014/025,.99,,90,174,200,1.26,1.08,1.40,Cosmoem Celebrations 014/025,live,Market signal did not exceed prototype opportunity threshold.,7
NO_ACTION,COSMOG 013/025 CELEBRATIONS HOLO RARE NM,Cosmog,Celebrations,013/025,.99,,90,159,200,1.79,1.26,1.50,Cosmog Celebrations 013/025,live,Market signal did not exceed prototype opportunity threshold.,8
NO_ACTION,XERNEAS 012/025 CELEBRATIONS HOLO RARE NM,Xerneas,Celebrations,012/025,.99,,90,166,200,1.99,1.66,1.40,Xerneas Celebrations 012/025,live,Market signal did not exceed prototype opportunity threshold.,9
NO_ACTION,PALKIA 004/025 CELEBRATIONS HOLO RARE NM,Palkia,Celebrations,004/025,.99,,90,149,200,0.99,1.24,1.38,Palkia Celebrations 004/025,live,Market signal did not exceed prototype opportunity threshold.,10
MARKET_OPPORTUNITY_REVIEW,KYOGRE 003/025 CELEBRATIONS HOLO RARE NM,Kyogre,Celebrations,003/025,.99,3.49,90,166,200,9.75,3.83,1.72,Kyogre Celebrations 003/025,live,Last 3 avg $3.83 is >= 2x current floor. Prototype review only.,11
NO_ACTION,RESHIRAM 002/025 CELEBRATIONS HOLO RARE NM,Reshiram,Celebrations,002/025,.99,,90,167,200,1.99,1.16,1.43,Reshiram Celebrations 002/025,live,Market signal did not exceed prototype opportunity threshold.,12
NO_ACTION,HO-OH 001/025 CELEBRATIONS HOLO RARE NM,Ho-Oh,Celebrations,001/025,.99,,90,158,200,1.70,1.67,1.69,Ho-Oh Celebrations 001/025,live,Market signal did not exceed prototype opportunity threshold.,13
NO_ACTION,ZEKROM 010/025 CELEBRATIONS HOLO RARE NM,Zekrom,Celebrations,010/025,.99,,90,179,200,0.69,1.26,1.45,Zekrom Celebrations 010/025,live,Market signal did not exceed prototype opportunity threshold.,14
