*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),ItemID,*Category,*Title,Subtitle,CustomLabel,*ConditionID,CD:Card Condition - (ID: 40001),C:Card Condition,*C:Game,*C:Sport,PicURL,*Description,*Format,*Duration,ScheduleTime,*StartPrice,BuyItNowPrice,*Quantity,*DispatchTimeMax,ShippingProfileName,*C:Set,*C:Rarity,*C:Speciality,*C:Finish,*C:Card Type,*C:Card Name,*C:Illustrator,*C:Manufacturer,*C:Graded,*C:Attribute/MTG:Colour,*C:Card Size,*C:Character,*C:Language,*C:Stage,*C:Country/Region of Manufacture,*C:Country of Origin,*C:Age Level,*C:Card Number,*C:Year Manufactured,*C:Autographed,C:Player/Athlete,C:Signed By,C:Season,C:Parallel/Variety,C:Features,C:League,C:Team,C:Autograph Authentication,C:Autograph Authentication Number,C:Autograph Format,*C:Material,PostalCode,WeightMajor,WeightMinor,PackageLength,PackageWidth,PackageDepth,WeightUnit,BestOfferEnabled,MinimumBestOfferPrice,BestOfferAutoAcceptPrice,StoreCategory,Storecategory2,PaymentProfileName,ReturnProfileName,Location
Add,,183454,PROFESSOR'S RESEARCH (PROFESSOR OAK) 023/025 CELEBRATIONS HOLO HOLO RARE NM,,CS-P8FK5A,4000,Near Mint or Better: -(ID: 400010),Near Mint or Better:,Pokémon TCG,,https://images.carduploader.com/catalog/english_pokemon_cards/2026/05/24/63ef00100432bad7f7e190a6f618caf0.png|https://images.carduploader.com/cards/2026/06/26/5bc874e35427254269c1b9949d6e109a.jpg,Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!,FixedPrice,GTC,,.99,,1,2,Free Ship Singles,Celebrations,Rare,,Holo,Pokemon,Professor's Research (Professor Oak),KIYOTAKA OSHIYAMA,Nintendo,No,,Standard,Professor's Research (Professor Oak),English,Supporter,USA,United States,6+,023/025,2021,No,,,,,,,,,,,Card Stock,02050,0,1,,,,lb,1,,,39837334017,,eBay Managed Payments (248663838017),30 days money back (248663837017),USA
Add,,183454,LUGIA 022/025 CELEBRATIONS HOLO RARE NM,,CS-MA5PDR,4000,Near Mint or Better: -(ID: 400010),Near Mint or Better:,Pokémon TCG,,https://images.carduploader.com/catalog/english_pokemon_cards/2026/05/24/6172947c07e3d21738c5cca7627013d1.png|https://images.carduploader.com/cards/2026/06/26/1cd93c0ec7612cd2ef58a2d7a5a49097.jpg,Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!,FixedPrice,GTC,,.99,,1,2,Free Ship Singles,Celebrations,Rare,,,Pokemon,Lugia,Kouki Saitou,Nintendo,No,Colorless,Standard,Lugia,English,Basic,USA,United States,6+,022/025,2021,No,,,,,,,,,,,Card Stock,02050,0,1,,,,lb,1,,,39837334017,,eBay Managed Payments (248663838017),30 days money back (248663837017),USA
Add,,183454,SOLGALEO 021/025 CELEBRATIONS HOLO HOLO RARE NM,,CS-UC6M4E,4000,Near Mint or Better: -(ID: 400010),Near Mint or Better:,Pokémon TCG,,https://images.carduploader.com/catalog/english_pokemon_cards/2026/05/24/5861f325591a2f3194059bf19c9a79d9.png|https://images.carduploader.com/cards/2026/06/26/446e3fe9af24c50873b71a086d795e04.jpg,Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!,FixedPrice,GTC,,.99,,1,2,Free Ship Singles,Celebrations,Rare,,Holo,Pokemon,Solgaleo,kirisAki,Nintendo,No,Metal,Standard,Solgaleo,English,Stage 2,USA,United States,6+,021/025,2021,No,,,,,,,,,,,Card Stock,02050,0,1,,,,lb,1,,,39837334017,,eBay Managed Payments (248663838017),30 days money back (248663837017),USA
Add,,183454,GROUDON 017/025 CELEBRATIONS HOLO RARE NM,,CS-AYCJBR,4000,Near Mint or Better: -(ID: 400010),Near Mint or Better:,Pokémon TCG,,https://images.carduploader.com/catalog/english_pokemon_cards/2026/05/24/e9b8908501e77cb5a8fe805ae4bd6845.png|https://images.carduploader.com/cards/2026/06/26/41d0a64a801ae4f5e60029c7f64afbc3.jpg,Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!,FixedPrice,GTC,,.99,,1,2,Free Ship Singles,Celebrations,Rare,,,Pokemon,Groudon,Ryuta Fuse,Nintendo,No,Fighting,Standard,Groudon,English,Basic,USA,United States,6+,017/025,2021,No,,,,,,,,,,,Card Stock,02050,0,1,,,,lb,1,,,39837334017,,eBay Managed Payments (248663838017),30 days money back (248663837017),USA
Add,,183454,LUNALA 015/025 CELEBRATIONS HOLO HOLO RARE NM,,CS-KNV4EK,4000,Near Mint or Better: -(ID: 400010),Near Mint or Better:,Pokémon TCG,,https://images.carduploader.com/catalog/english_pokemon_cards/2026/05/24/ceb643cdf27eeca7ca6add1ff14315e3.png|https://images.carduploader.com/cards/2026/06/26/81c1e63db5019a104107ceec4e518aa5.jpg,Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!,FixedPrice,GTC,,.99,,1,2,Free Ship Singles,Celebrations,Rare,,Holo,Pokemon,Lunala,kirisAki,Nintendo,No,Psychic,Standard,Lunala,English,Stage 2,USA,United States,6+,015/025,2021,No,,,,,,,,,,,Card Stock,02050,0,1,,,,lb,1,,,39837334017,,eBay Managed Payments (248663838017),30 days money back (248663837017),USA
Add,,183454,COSMOEM 014/025 CELEBRATIONS HOLO RARE NM,,CS-825Y52,4000,Near Mint or Better: -(ID: 400010),Near Mint or Better:,Pokémon TCG,,https://images.carduploader.com/catalog/english_pokemon_cards/2026/05/24/536aa5947f1eed82758c3a3741a1d022.png|https://images.carduploader.com/cards/2026/06/26/6fcd3bf89f367fa013b1bd1cf8d5d7f5.jpg,Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!,FixedPrice,GTC,,.99,,1,2,Free Ship Singles,Celebrations,Rare,,,Pokemon,Cosmoem,kirisAki,Nintendo,No,Psychic,Standard,Cosmoem,English,Stage 1,USA,United States,6+,014/025,2021,No,,,,,,,,,,,Card Stock,02050,0,1,,,,lb,1,,,39837334017,,eBay Managed Payments (248663838017),30 days money back (248663837017),USA
Add,,183454,COSMOG 013/025 CELEBRATIONS HOLO RARE NM,,CS-CPH8PG,4000,Near Mint or Better: -(ID: 400010),Near Mint or Better:,Pokémon TCG,,https://images.carduploader.com/catalog/english_pokemon_cards/2026/05/24/039b9609fb17cdc68175b813d1abef68.png|https://images.carduploader.com/cards/2026/06/26/255f1111802d426cba3ef7cbd4cec185.jpg,Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!,FixedPrice,GTC,,.99,,1,2,Free Ship Singles,Celebrations,Rare,,,Pokemon,Cosmog,kirisAki,Nintendo,No,Psychic,Standard,Cosmog,English,Basic,USA,United States,6+,013/025,2021,No,,,,,,,,,,,Card Stock,02050,0,1,,,,lb,1,,,39837334017,,eBay Managed Payments (248663838017),30 days money back (248663837017),USA
Add,,183454,XERNEAS 012/025 CELEBRATIONS HOLO RARE NM,,CS-7KXJDK,4000,Near Mint or Better: -(ID: 400010),Near Mint or Better:,Pokémon TCG,,https://images.carduploader.com/catalog/english_pokemon_cards/2026/05/24/0ff6cdb6277a89efbf1b7492ccdf1832.png|https://images.carduploader.com/cards/2026/06/26/bf9a1ee1b845ad6623090f7cd4ce44e7.jpg,Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!,FixedPrice,GTC,,.99,,1,2,Free Ship Singles,Celebrations,Rare,,,Pokemon,Xerneas,AKIRA EGAWA,Nintendo,No,Psychic,Standard,Xerneas,English,Basic,USA,United States,6+,012/025,2021,No,,,,,,,,,,,Card Stock,02050,0,1,,,,lb,1,,,39837334017,,eBay Managed Payments (248663838017),30 days money back (248663837017),USA
Add,,183454,PALKIA 004/025 CELEBRATIONS HOLO RARE NM,,CS-GQQMZ8,4000,Near Mint or Better: -(ID: 400010),Near Mint or Better:,Pokémon TCG,,https://images.carduploader.com/catalog/english_pokemon_cards/2026/05/24/8a46afafb15ebb799cd7184d905ec286.png|https://images.carduploader.com/cards/2026/06/26/9c82e6f2678734ff873b78ef72a7e74d.jpg,Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!,FixedPrice,GTC,,.99,,1,2,Free Ship Singles,Celebrations,Rare,,,Pokemon,Palkia,5ban Graphics,Nintendo,No,Water,Standard,Palkia,English,Basic,USA,United States,6+,004/025,2021,No,,,,,,,,,,,Card Stock,02050,0,1,,,,lb,1,,,39837334017,,eBay Managed Payments (248663838017),30 days money back (248663837017),USA
Add,,183454,KYOGRE 003/025 CELEBRATIONS HOLO RARE NM,,CS-ZVME2N,4000,Near Mint or Better: -(ID: 400010),Near Mint or Better:,Pokémon TCG,,https://images.carduploader.com/catalog/english_pokemon_cards/2026/05/24/efdc3ebd478d2452a020bc754c249c4b.png|https://images.carduploader.com/cards/2026/06/26/b70f8a5209c761f4c63ad4c9b89c691a.jpg,Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!,FixedPrice,GTC,,.99,,1,2,Free Ship Singles,Celebrations,Rare,,,Pokemon,Kyogre,Ryuta Fuse,Nintendo,No,Water,Standard,Kyogre,English,Basic,USA,United States,6+,003/025,2021,No,,,,,,,,,,,Card Stock,02050,0,1,,,,lb,1,,,39837334017,,eBay Managed Payments (248663838017),30 days money back (248663837017),USA
