status,title,old_price,new_price,change,notes,flags,card_name,set,card_number,sku,quantity,line_no
KEEP,PROFESSOR'S RESEARCH (PROFESSOR OAK) 023/025 CELEBRATIONS HOLO HOLO RARE NM,0.99,0.99,0.00,ladder keep,,Professor's Research (Professor Oak),Celebrations,023/025,CS-P8FK5A,1,2
KEEP,LUGIA 022/025 CELEBRATIONS HOLO RARE NM,0.99,0.99,0.00,ladder keep,,Lugia,Celebrations,022/025,CS-MA5PDR,1,3
KEEP,SOLGALEO 021/025 CELEBRATIONS HOLO HOLO RARE NM,0.99,0.99,0.00,ladder keep,,Solgaleo,Celebrations,021/025,CS-UC6M4E,1,4
KEEP,GROUDON 017/025 CELEBRATIONS HOLO RARE NM,0.99,0.99,0.00,ladder keep,,Groudon,Celebrations,017/025,CS-AYCJBR,1,5
KEEP,LUNALA 015/025 CELEBRATIONS HOLO HOLO RARE NM,0.99,0.99,0.00,ladder keep,,Lunala,Celebrations,015/025,CS-KNV4EK,1,6
KEEP,COSMOEM 014/025 CELEBRATIONS HOLO RARE NM,0.99,0.99,0.00,ladder keep,,Cosmoem,Celebrations,014/025,CS-825Y52,1,7
KEEP,COSMOG 013/025 CELEBRATIONS HOLO RARE NM,0.99,0.99,0.00,ladder keep,,Cosmog,Celebrations,013/025,CS-CPH8PG,1,8
KEEP,XERNEAS 012/025 CELEBRATIONS HOLO RARE NM,0.99,0.99,0.00,ladder keep,,Xerneas,Celebrations,012/025,CS-7KXJDK,1,9
KEEP,PALKIA 004/025 CELEBRATIONS HOLO RARE NM,0.99,0.99,0.00,ladder keep,,Palkia,Celebrations,004/025,CS-GQQMZ8,1,10
KEEP,KYOGRE 003/025 CELEBRATIONS HOLO RARE NM,0.99,0.99,0.00,ladder keep,,Kyogre,Celebrations,003/025,CS-ZVME2N,1,11
KEEP,RESHIRAM 002/025 CELEBRATIONS HOLO RARE NM,0.99,0.99,0.00,ladder keep,,Reshiram,Celebrations,002/025,CS-4H4MJ4,1,12
KEEP,HO-OH 001/025 CELEBRATIONS HOLO RARE NM,0.99,0.99,0.00,ladder keep,,Ho-Oh,Celebrations,001/025,CS-CCM2DW,1,13
KEEP,ZEKROM 010/025 CELEBRATIONS HOLO RARE NM,0.99,0.99,0.00,ladder keep,,Zekrom,Celebrations,010/025,CS-D57MA2,1,14
