Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"147258801076",N's Zoroark ex SR #117/100 - TAG 10 - Battle Partners - Pokemon Japanese,,05.19.26,"1","FIXED_PRICE","USD",45.0,,,45.0,"0","0","0","Apr-14-26 08:18:42 PDT","Jul-14-26 08:18:42 PDT","CCG Individual Cards","183454","","","Graded","Technical Authentication & Grading (TAG)","10","","","","US","","",""
"147273209951",Brook OP15-022 Adventure On Kami's Island R English NM One Piece,,05.19.26,"1","FIXED_PRICE","USD",0.99,,,0.99,"0","","","Apr-22-26 18:11:15 PDT","Jul-22-26 18:11:15 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147275111807",Kaku Rare EB04-043 | Adventure on Kami’s Island OP-15-EB04 | One Piece,,05.19.26,"1","FIXED_PRICE","USD",0.99,,,0.99,"0","","","Apr-23-26 17:32:27 PDT","Jul-23-26 17:32:27 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147275112576",Pearl | OP15-011 | R,,05.19.26,"1","FIXED_PRICE","USD",0.99,,,0.99,"0","","","Apr-23-26 17:34:51 PDT","Jul-23-26 17:34:51 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147275206221",Perona OP15-090 Adventure on Kami's Island UC NM One Piece,,05.19.26,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","Apr-23-26 19:15:07 PDT","Jul-23-26 19:15:07 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147275208241",Sai OP15-045 | R | Adventure on Kamis Island,,05.19.26,"1","FIXED_PRICE","USD",0.99,,,0.99,"0","","","Apr-23-26 19:18:06 PDT","Jul-23-26 19:18:06 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147285027136",Kamikoto Knife Roll Black Canva Heavy Duty- FREE SHIPPING,,05.19.26,"1","FIXED_PRICE","USD",39.99,,,39.99,"0","0","0","Apr-29-26 19:31:40 PDT","Jun-29-26 19:31:40 PDT","Factory Manufactured","48818","","","New","","","","","","US","","",""
"147293513303",Flareon 136/165 Scarlet and Violet 151 Holo Rare,,05.19.26,"8","FIXED_PRICE","USD",1.49,,,1.49,"0","1","0","May-04-26 06:57:23 PDT","Jul-04-26 06:57:23 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147293569097",Moltres 146/165 Scarlet & Violet 151 Holo Rare NM Pokemon,,05.19.26,"9","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-04-26 07:41:48 PDT","Jul-04-26 07:41:48 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147293581218",Vileplume Rare Holofoil 045/165 SV: Scarlet & Violet 151 NM,,05.19.26,"16","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-04-26 07:49:27 PDT","Jul-04-26 07:49:27 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147293589270",Beedrill 015/165  Scarlet & Violet 151 Holo Rare,,05.19.26,"9","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-04-26 07:52:04 PDT","Jul-04-26 07:52:04 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","12062911387","US","","",""
"147293591498",Gyarados 130/165 Sv: Scarlet & Violet 151 Reverse Holo,,05.19.26,"11","FIXED_PRICE","USD",1.49,,,1.49,"1","0","0","May-04-26 07:55:03 PDT","Jul-04-26 07:55:03 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","28062931401","US","","",""
"147293594732",Omastar 139/165 Scarlet & Violet 151 Rare NM Pokemon,,05.19.26,"3","FIXED_PRICE","USD",1.49,,,1.49,"1","1","0","May-04-26 07:59:15 PDT","Jul-04-26 07:59:15 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147293596889",Articuno 144/165 Scarlet & Violet 151 Rare NM Pokemon,,05.19.26,"2","FIXED_PRICE","USD",1.49,,,1.49,"2","2","0","May-04-26 08:01:25 PDT","Jul-04-26 08:01:25 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147293598550",Vaporeon Rare SV: Scarlet & Violet 151 134/165 NM English Holo,,05.19.26,"6","FIXED_PRICE","USD",1.49,,,1.49,"1","0","0","May-04-26 08:03:34 PDT","Jul-04-26 08:03:34 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
