Title,User SKU,Catalog SKU,TCGplayer SKU,TCGplayer Product ID,TCG,Set,Card Number,Rarity,Condition,Variant,Finish,Price,Qty,Status,Grading Company,Cert Number,Grade
Amoonguss 14/236 Rare Unified Minds Pokemon Reverse Holo Near Mint,,CS-CPRU9J,4143106,194930,pokemon english,Unified Minds,14,Rare,NM,Reverse Holofoil,,1.99,1,listed,,,
Voltorb 21/68 Common Hidden Fates Pokemon Reverse Holo Near Mint,,CS-4HUCCR,4169234,197665,pokemon english,Hidden Fates,21,Common,NM,Reverse Holofoil,,1.99,1,listed,,,
Xerneas 078/185 Holo Rare Vivid Voltage Pokemon Holo Near Mint,,CS-4MDWPJ,4634590,226486,pokemon english,Vivid Voltage,078,Rare,NM,Holofoil,Holo,1.99,1,listed,,,
Capturing Aroma 153/195 Uncommon Prize Pack Series Cards Pokemon Holo Near Mint,,CS-3JF7BU,7751305,538756,pokemon english,Prize Pack Series Cards,153/195,Uncommon,NM,Holofoil,,3.99,1,listed,,,
Beedrill ex 003/086 Double Rare Chaos Rising Pokemon Holo Near Mint,,CS-BXA48H,9283122,693453,pokemon english,Chaos Rising,003/086,Double Rare,NM,Holofoil,,1.99,1,listed,,,
Mega Greninja ex 022/086 Double Rare Chaos Rising Pokemon Holo Near Mint,,CS-SZVGBY,9283617,693515,pokemon english,Chaos Rising,022/086,Double Rare,NM,Holofoil,,2.99,1,listed,,,
Ambipom 170/236 Uncommon Cosmic Eclipse Pokemon Reverse Holo Near Mint,,CS-ACAACB,4257020,201292,pokemon english,Cosmic Eclipse,170,Uncommon,NM,Reverse Holofoil,,2.99,1,listed,,,
Staryu 13/68 Common Hidden Fates Pokemon Reverse Holo Near Mint,,CS-ER2MMT,4169169,197657,pokemon english,Hidden Fates,13,Common,NM,Reverse Holofoil,,1.99,1,listed,,,
Togedemaru 74/236 Common Cosmic Eclipse Pokemon Reverse Holo Near Mint,,CS-2XF89T,4256620,201248,pokemon english,Cosmic Eclipse,74,Common,NM,Reverse Holofoil,,1.99,1,listed,,,
Tangela 16/214 Common Unbroken Bonds Pokemon Reverse Holo Near Mint,,CS-X2MDWB,4008108,189058,pokemon english,Unbroken Bonds,16,Common,NM,Reverse Holofoil,,2.75,1,listed,,,
Restless Bloodseeker (Showcase) 295 Innistrad: Crimson Vow MTG NM,,CS-NMTK2D,5288603,253760,mtg,Innistrad: Crimson Vow,295,Uncommon,NM,,,1.49,1,listed,,,
Mascot Exhibition (Extended Art) 285 Strixhaven: School of Mages MTG NM,,CS-BWKK5X,4868553,235915,mtg,Strixhaven: School of Mages,285,Mythic,NM,,,1.49,1,listed,,,
Better Than One 128 Rare Unstable Magic: The Gathering Near Mint,,CS-S8YN9T,3544862,152664,mtg,Unstable,128,Rare,NM,,,1.49,1,listed,,,
Jhoira of the Ghitu 1 Duel Decks: Mind vs. Might Magic: The Gathering Foil NM,,CS-MF7HUV,3322726,129365,mtg,Duel Decks: Mind vs. Might,1,Mythic,NM,Foil,,1.49,1,listed,,,
Divine Gambit (Foil Etched) 4 Strixhaven: Mystical Archives MTG Foil NM,,CS-GRDGQC,4846497,235497,mtg,Strixhaven: Mystical Archives,4,Uncommon,NM,Foil,,1.49,1,listed,,,
Claim the Firstborn (Foil Etched) 37 Strixhaven: Mystical Archives MTG Foil NM,,CS-489U88,4854037,235619,mtg,Strixhaven: Mystical Archives,37,Uncommon,NM,Foil,,1.49,1,listed,,,
