"*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8)","ItemID","*Category","*Title","Subtitle","CustomLabel","*ConditionID","CD:Card Condition - (ID: 40001)","C:Card Condition","*C:Game","*C:Sport","PicURL","*Description","*Format","*Duration","ScheduleTime","*StartPrice","BuyItNowPrice","*Quantity","*DispatchTimeMax","ShippingProfileName","*C:Set","*C:Rarity","*C:Speciality","*C:Finish","*C:Card Type","*C:Card Name","*C:Illustrator","*C:Manufacturer","*C:Graded","*C:Attribute/MTG:Colour","*C:Card Size","*C:Character","*C:Language","*C:Stage","*C:Country/Region of Manufacture","*C:Country of Origin","*C:Age Level","*C:Card Number","*C:Year Manufactured","*C:Autographed","C:Player/Athlete","C:Signed By","C:Season","C:Parallel/Variety","C:Features","C:League","C:Team","C:Autograph Authentication","C:Autograph Authentication Number","C:Autograph Format","*C:Material","PostalCode","WeightMajor","WeightMinor","PackageLength","PackageWidth","PackageDepth","WeightUnit","BestOfferEnabled","MinimumBestOfferPrice","BestOfferAutoAcceptPrice","StoreCategory","Storecategory2","PaymentProfileName","ReturnProfileName","Location"
"Add","","183454","USOPP OP15-024 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM","","CS-NG7BSV","4000","Near Mint or Better: -(ID: 400010)","Near Mint or Better:","One Piece CCG","","https://images.carduploader.com/catalog/onepiece_english_cards/2026/05/24/10cfd110bf49ec8c079c6ac81a1eddcb.jpg|https://images.carduploader.com/cards/2026/06/29/da580abcd5dce426f54f50da4e31d22f.jpg|https://images.carduploader.com/cards/2026/06/29/21b0588a578240bf387efc3978f6a317.jpg","Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!","FixedPrice","GTC","","1.99","","1","2","BuyerPaid Ship - EBay Standard Envelope","Adventure on Kami's Island","Rare","","","One Piece","Usopp","NIJIMAARC","Bandai","No","Character","Standard","Usopp","English","","USA","Japan","6+","OP15-024","2026","No","","","","","","","","","","","Card Stock","02050","0","1","","","","lb","1","","","39887935017","","eBay Managed Payments (248663838017)","30 days money back (248663837017)","USA"
"Add","","183454","USOPP OP15-024 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM","","CS-NG7BSV","4000","Near Mint or Better: -(ID: 400010)","Near Mint or Better:","One Piece CCG","","https://images.carduploader.com/catalog/onepiece_english_cards/2026/05/24/10cfd110bf49ec8c079c6ac81a1eddcb.jpg|https://images.carduploader.com/cards/2026/06/29/41804b9523ea7532bf5fc3f3be03d8a9.jpg|https://images.carduploader.com/cards/2026/06/29/4432418705497e92f3a95578f5a915dd.jpg","Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!","FixedPrice","GTC","","1.99","","1","2","BuyerPaid Ship - EBay Standard Envelope","Adventure on Kami's Island","Rare","","","One Piece","Usopp","NIJIMAARC","Bandai","No","Character","Standard","Usopp","English","","USA","Japan","6+","OP15-024","2026","No","","","","","","","","","","","Card Stock","02050","0","1","","","","lb","1","","","39887935017","","eBay Managed Payments (248663838017)","30 days money back (248663837017)","USA"
"Add","","183454","OHM OP15-061 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM","","CS-FA9E58","4000","Near Mint or Better: -(ID: 400010)","Near Mint or Better:","One Piece CCG","","https://images.carduploader.com/catalog/onepiece_english_cards/2026/05/24/e60facff3ce6072213d8c653f49c0d0f.jpg|https://images.carduploader.com/cards/2026/06/29/4a11c5b0908296185cf323abf8acb34a.jpg|https://images.carduploader.com/cards/2026/06/29/31ca13f3b4923e132613e700995440c1.jpg","Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!","FixedPrice","GTC","",".99","","1","2","BuyerPaid Ship - EBay Standard Envelope","Adventure on Kami's Island","Rare","","","One Piece","Ohm","Hatori Kyoka","Bandai","No","Character","Standard","Ohm","English","","USA","Japan","6+","OP15-061","2026","No","","","","","","","","","","","Card Stock","02050","0","1","","","","lb","1","","","39887935017","","eBay Managed Payments (248663838017)","30 days money back (248663837017)","USA"
"Add","","183454","NICO ROBIN OP15-109 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM","","CS-YPWSAR","4000","Near Mint or Better: -(ID: 400010)","Near Mint or Better:","One Piece CCG","","https://images.carduploader.com/catalog/onepiece_english_cards/2026/05/24/12fbd3d525e1191dce51232f943f0357.jpg|https://images.carduploader.com/cards/2026/06/29/ef2df306fe8af2284bafc4e427daa330.jpg|https://images.carduploader.com/cards/2026/06/29/eb66dec7f54160e5aec78c8898561358.jpg","Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!","FixedPrice","GTC","",".99","","1","2","BuyerPaid Ship - EBay Standard Envelope","Adventure on Kami's Island","Rare","","","One Piece","Nico Robin","Nijihayashi","Bandai","No","Character","Standard","Nico Robin","English","","USA","Japan","6+","OP15-109","2026","No","","","","","","","","","","","Card Stock","02050","0","1","","","","lb","1","","","39887935017","","eBay Managed Payments (248663838017)","30 days money back (248663837017)","USA"
"Add","","183454","VIOLA OP15-040 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM","","CS-74PA7A","4000","Near Mint or Better: -(ID: 400010)","Near Mint or Better:","One Piece CCG","","https://images.carduploader.com/catalog/onepiece_english_cards/2026/05/24/1a703b5a598729ceaefc96f22eb61e78.jpg|https://images.carduploader.com/cards/2026/06/29/fc740972cc0b52949850d09738fc1c8b.jpg|https://images.carduploader.com/cards/2026/06/29/3cfbb30375d2a25a6d3cbc06830b025c.jpg","Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!","FixedPrice","GTC","",".99","","1","2","BuyerPaid Ship - EBay Standard Envelope","Adventure on Kami's Island","Rare","","","One Piece","Viola","Hagane Tsurugi","Bandai","No","Character","Standard","Viola","English","","USA","Japan","6+","OP15-040","2026","No","","","","","","","","","","","Card Stock","02050","0","1","","","","lb","1","","","39887935017","","eBay Managed Payments (248663838017)","30 days money back (248663837017)","USA"
"Add","","183454","MONKEY.D.LUFFY OP15-092 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM","","CS-6DJ6QH","4000","Near Mint or Better: -(ID: 400010)","Near Mint or Better:","One Piece CCG","","https://images.carduploader.com/catalog/onepiece_english_cards/2026/05/24/1029ecc16821787ef63bafa31a21317a.jpg|https://images.carduploader.com/cards/2026/06/29/a9190c309395b9419ede28a2db5f5afc.jpg|https://images.carduploader.com/cards/2026/06/29/807cb00444018d8904070f6e869bcc9b.jpg","Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!","FixedPrice","GTC","","1.99","","1","2","BuyerPaid Ship - EBay Standard Envelope","Adventure on Kami's Island","Rare","","","One Piece","Monkey.D.Luffy","Ryuda","Bandai","No","Character","Standard","Monkey.D.Luffy","English","","USA","Japan","6+","OP15-092","2026","No","","","","","","","","","","","Card Stock","02050","0","1","","","","lb","1","","","39887935017","","eBay Managed Payments (248663838017)","30 days money back (248663837017)","USA"
"Add","","183454","DON!! CARD ""RING THAT GOLDEN BELL!!"" ADVENTURE ON KAMI'S ISLAND FOIL NM","","CS-A2MA3T","4000","Near Mint or Better: -(ID: 400010)","Near Mint or Better:","One Piece CCG","","https://images.carduploader.com/catalog/onepiece_english_cards/2026/05/24/60763823072ab2b7bc7e7e20c56a81ac.jpg|https://images.carduploader.com/cards/2026/06/29/f45be0a241ce9c828ad8b183b4249b0c.jpg|https://images.carduploader.com/cards/2026/06/29/ba87b4a9e0d03a1873c09e51d4fbcc6a.jpg","Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!","FixedPrice","GTC","","1.99","","1","2","BuyerPaid Ship - EBay Standard Envelope","Adventure on Kami's Island","DON!!","","","One Piece","DON!! Card Monkey D. Luffy ""Ring That Golden Bell!!"" (Luffy)","","Bandai","No","DON!!","Standard","DON!! Card (Luffy)","English","","United States","Japan","6+","","2026","No","","","","","","","","","","","Card Stock","02050","0","1","","","","lb","1","","","39887935017","","eBay Managed Payments (248663838017)","30 days money back (248663837017)","USA"
"Add","","183454","SHURA OP15-067 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM","","CS-J6GGQG","4000","Near Mint or Better: -(ID: 400010)","Near Mint or Better:","One Piece CCG","","https://images.carduploader.com/catalog/onepiece_english_cards/2026/05/24/d0c3075d528334ec542c5a0ed0340c99.jpg|https://images.carduploader.com/cards/2026/06/29/dd3261fa46fa6d721da126c729385280.jpg|https://images.carduploader.com/cards/2026/06/29/acbae0cc5da07175ed0f9188c05153bd.jpg","Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!","FixedPrice","GTC","","1.49","","1","2","BuyerPaid Ship - EBay Standard Envelope","Adventure on Kami's Island","Rare","","","One Piece","Shura","Aidle Co., Ltd.","Bandai","No","Character","Standard","Shura","English","","USA","Japan","6+","OP15-067","2026","No","","","","","","","","","","","Card Stock","02050","0","1","","","","lb","1","","","39887935017","","eBay Managed Payments (248663838017)","30 days money back (248663837017)","USA"
"Add","","183454","DISTORTED FUTURE EB04-008 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM","","CS-MBUQTZ","4000","Near Mint or Better: -(ID: 400010)","Near Mint or Better:","One Piece CCG","","https://images.carduploader.com/catalog/onepiece_english_cards/2026/05/24/9e6e59bdc7b42b326c78d092e1aff291.jpg|https://images.carduploader.com/cards/2026/06/29/8209b39e4c696c1ee017e6f083ee6cfd.jpg|https://images.carduploader.com/cards/2026/06/29/7381379881df7802cf915bb1ba6839e2.jpg","Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!","FixedPrice","GTC","","1.49","","1","2","BuyerPaid Ship - EBay Standard Envelope","Adventure on Kami's Island","Rare","","","One Piece","Distorted Future","","Bandai","No","Event","Standard","Distorted Future","English","","USA","Japan","6+","EB04-008","2026","No","","","","","","","","","","","Card Stock","02050","0","1","","","","lb","1","","","39887935017","","eBay Managed Payments (248663838017)","30 days money back (248663837017)","USA"
"Add","","183454","OARS OP15-080 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM","","CS-EQPY6T","4000","Near Mint or Better: -(ID: 400010)","Near Mint or Better:","One Piece CCG","","https://images.carduploader.com/catalog/onepiece_english_cards/2026/05/24/b974c64d121608e9234f9066321e262e.jpg|https://images.carduploader.com/cards/2026/06/29/eaca5db145f7ac97ab5ca1ecae63bd26.jpg|https://images.carduploader.com/cards/2026/06/29/b6306c801f888b6a032a97292d25c0de.jpg","Thank you for visiting Putnam Collectibles!<br><br>• Card shown is the exact card you will receive. <br><br>• All cards are carefully inspected before listing.<br><br>• Cards are shipped securely in a penny sleeve and top loader or semi-rigid holder inside a protective mailer.<br><br>• Combined shipping is available on multiple purchases.<br><br>• Feel free to contact us with any questions.<br><br>Thank you for supporting Putnam Collectibles!","FixedPrice","GTC","",".99","","1","2","BuyerPaid Ship - EBay Standard Envelope","Adventure on Kami's Island","Rare","","","One Piece","Oars","nukadokomogera","Bandai","No","Character","Standard","Oars","English","","USA","Japan","6+","OP15-080","2026","No","","","","","","","","","","","Card Stock","02050","0","1","","","","lb","1","","","39887935017","","eBay Managed Payments (248663838017)","30 days money back (248663837017)","USA"
