Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN,duplicate_title,duplicate_count
147335404026,Spire Mechcycle (Borderless) DFT U NM,,05.27.26-008,1,FIXED_PRICE,USD,1.49,,,1.49,0,,,May-27-26 13:07:00 PDT,Jul-27-26 13:07:00 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Spire Mechcycle (Borderless) DFT U NM,2
147335404035,Auron's Inspiration FIN U NM,,05.27.26-012,1,FIXED_PRICE,USD,1.49,,,1.49,0,,,May-27-26 13:11:00 PDT,Jul-27-26 13:11:00 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Auron's Inspiration FIN U NM,2
147336997243,Auron's Inspiration FIN U NM,,05.28.26.1-010,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,May-28-26 07:14:08 PDT,Jul-28-26 07:14:08 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Auron's Inspiration FIN U NM,2
147336997278,Spire Mechcycle (Borderless) DFT U NM,,05.28.26.1-027,1,FIXED_PRICE,USD,1.49,,,1.49,0,,,May-28-26 07:14:08 PDT,Jul-28-26 07:14:08 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Spire Mechcycle (Borderless) DFT U NM,2
147375711076,Ascended Heroes - PICK YOUR CARD,Card=Erika's Oddish (Energy Symbol) 001/217 NM ME: Ascended Heroes Rev;Dustox - (Love Ball) 015/217 NM ME: Ascended Heroes Reverse Holo;Entei (Quick Ball) 025/217 NM ME: Ascended Heroes Reverse Holo;Glastrier (Friend Ball) 054/217 NM ME: Ascended Heroes Reverse Ho;Stunfisk (Quick Ball) 062/217 NM ME: Ascended Heroes Reverse Holo;Spectrier (Dusk Ball) 098/217 NM ME: Ascended Heroes Reverse Holo;Munkidori (Dusk Ball) 099/217 NM ME: Ascended Heroes Reverse Holo;Hitmontop - (Dusk Ball) 102/217 NM ME: Ascended Heroes Reverse Ho;Team Rocket's Honchkrow (Energy Symbol) 127/217 NM ME: Ascended H,,9,FIXED_PRICE,USD,1.59,,,1.59,0,,,Jun-15-26 06:40:53 PDT,Jul-15-26 06:40:53 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Ascended Heroes - PICK YOUR CARD,10
147375711076,Ascended Heroes - PICK YOUR CARD,Card=Erika's Oddish (Energy Symbol) 001/217 NM ME: Ascended Heroes Rev,,1,FIXED_PRICE,USD,2.85,,,,0,,,Jun-15-26 06:40:53 PDT,Jul-15-26 06:40:53 PDT,CCG Individual Cards,183454,,,Ungraded,,,,,,US,,,,Ascended Heroes - PICK YOUR CARD,10
147375711076,Ascended Heroes - PICK YOUR CARD,Card=Dustox - (Love Ball) 015/217 NM ME: Ascended Heroes Reverse Holo,,1,FIXED_PRICE,USD,1.69,,,,0,,,Jun-15-26 06:40:53 PDT,Jul-15-26 06:40:53 PDT,CCG Individual Cards,183454,,,Ungraded,,,,,,US,,,,Ascended Heroes - PICK YOUR CARD,10
147375711076,Ascended Heroes - PICK YOUR CARD,Card=Entei (Quick Ball) 025/217 NM ME: Ascended Heroes Reverse Holo,,1,FIXED_PRICE,USD,1.75,,,,0,,,Jun-15-26 06:40:53 PDT,Jul-15-26 06:40:53 PDT,CCG Individual Cards,183454,,,Ungraded,,,,,,US,,,,Ascended Heroes - PICK YOUR CARD,10
147375711076,Ascended Heroes - PICK YOUR CARD,Card=Glastrier (Friend Ball) 054/217 NM ME: Ascended Heroes Reverse Ho,,1,FIXED_PRICE,USD,1.99,,,,0,,,Jun-15-26 06:40:53 PDT,Jul-15-26 06:40:53 PDT,CCG Individual Cards,183454,,,Ungraded,,,,,,US,,,,Ascended Heroes - PICK YOUR CARD,10
147375711076,Ascended Heroes - PICK YOUR CARD,Card=Stunfisk (Quick Ball) 062/217 NM ME: Ascended Heroes Reverse Holo,,1,FIXED_PRICE,USD,1.59,,,,0,,,Jun-15-26 06:40:53 PDT,Jul-15-26 06:40:53 PDT,CCG Individual Cards,183454,,,Ungraded,,,,,,US,,,,Ascended Heroes - PICK YOUR CARD,10
147375711076,Ascended Heroes - PICK YOUR CARD,Card=Spectrier (Dusk Ball) 098/217 NM ME: Ascended Heroes Reverse Holo,,1,FIXED_PRICE,USD,1.59,,,,0,,,Jun-15-26 06:40:53 PDT,Jul-15-26 06:40:53 PDT,CCG Individual Cards,183454,,,Ungraded,,,,,,US,,,,Ascended Heroes - PICK YOUR CARD,10
147375711076,Ascended Heroes - PICK YOUR CARD,Card=Munkidori (Dusk Ball) 099/217 NM ME: Ascended Heroes Reverse Holo,,1,FIXED_PRICE,USD,1.89,,,,0,,,Jun-15-26 06:40:53 PDT,Jul-15-26 06:40:53 PDT,CCG Individual Cards,183454,,,Ungraded,,,,,,US,,,,Ascended Heroes - PICK YOUR CARD,10
147375711076,Ascended Heroes - PICK YOUR CARD,Card=Hitmontop - (Dusk Ball) 102/217 NM ME: Ascended Heroes Reverse Ho,,1,FIXED_PRICE,USD,1.99,,,,0,,,Jun-15-26 06:40:53 PDT,Jul-15-26 06:40:53 PDT,CCG Individual Cards,183454,,,Ungraded,,,,,,US,,,,Ascended Heroes - PICK YOUR CARD,10
147375711076,Ascended Heroes - PICK YOUR CARD,Card=Team Rocket's Honchkrow (Energy Symbol) 127/217 NM ME: Ascended H,,1,FIXED_PRICE,USD,1.99,,,,0,,,Jun-15-26 06:40:53 PDT,Jul-15-26 06:40:53 PDT,CCG Individual Cards,183454,,,Ungraded,,,,,,US,,,,Ascended Heroes - PICK YOUR CARD,10
147385600520,Country Roads DFT U NM,,06.19.26-032,1,FIXED_PRICE,USD,1.09,,,1.09,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Country Roads DFT U NM,2
147385600527,Road Rage DFT U NM,,06.19.26-029,1,FIXED_PRICE,USD,1.09,,,1.09,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Road Rage DFT U NM,2
