Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN,audit_price_column,audit_price,price_under_0_99,price_equal_0_99,price_under_1_49,price_over_100
147273209951,Brook OP15-022 Adventure On Kami's Island R English NM One Piece,,05.19.26,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,Apr-22-26 18:11:15 PDT,Jul-22-26 18:11:15 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,0.99,False,True,True,False
147275111807,Kaku Rare EB04-043 | Adventure on Kami’s Island OP-15-EB04 | One Piece,,05.19.26,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,Apr-23-26 17:32:27 PDT,Jul-23-26 17:32:27 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,0.99,False,True,True,False
147275112576,Pearl | OP15-011 | R,,05.19.26,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,Apr-23-26 17:34:51 PDT,Jul-23-26 17:34:51 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,0.99,False,True,True,False
147275208241,Sai OP15-045 | R | Adventure on Kamis Island,,05.19.26,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,Apr-23-26 19:18:06 PDT,Jul-23-26 19:18:06 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,0.99,False,True,True,False
147336076229,Patrat 079/096 Xy3: Rising Fist Regular (Japanese),,,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,May-27-26 19:27:41 PDT,Jul-27-26 19:27:41 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,12074346198,US,,,,Current price,0.99,False,True,True,False
147336108365,Professor's Letter 055/060 XY-By: Collection Y Regular (Japanese),,,1,FIXED_PRICE,USD,1.0,,,1.0,0,,,May-27-26 19:49:18 PDT,Jul-27-26 19:49:18 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Lightly played (Excellent),12073627744,US,,,,Current price,1.0,False,False,True,False
147336115096,Golett 040/096 Xy3: Rising Fist Regular (Japanese),,,1,FIXED_PRICE,USD,1.25,,,1.25,0,,,May-27-26 19:57:11 PDT,Jul-27-26 19:57:11 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,11073671687,US,,,,Current price,1.25,False,False,True,False
147336115667,Sail Fossil 086/096 Xy3: Rising Fist Regular (Japanese),,,1,FIXED_PRICE,USD,1.25,,,1.25,0,,,May-27-26 19:58:32 PDT,Jul-27-26 19:58:32 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,13073679955,US,,,,Current price,1.25,False,False,True,False
147336868889,Skybox Ferry (Borderless) Aetherdrift Regular,,,1,FIXED_PRICE,USD,1.25,,,1.25,0,,,May-28-26 05:40:25 PDT,Jul-28-26 05:40:25 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,20074758675,US,,,,Current price,1.25,False,False,True,False
147336997231,Travel the Overworld FIN U NM,,05.28.26.1-009,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,May-28-26 07:14:08 PDT,Jul-28-26 07:14:08 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,0.99,False,True,True,False
147336997232,Earthrumbler DFT U NM,,05.28.26.1-019,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,May-28-26 07:14:08 PDT,Jul-28-26 07:14:08 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,0.99,False,True,True,False
147336997235,Sidequest: Hunt the Mark FIN U NM,,05.28.26.1-012,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,May-28-26 07:14:08 PDT,Jul-28-26 07:14:08 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,0.99,False,True,True,False
147336997236,Stolen Uniform FIN U NM,,05.28.26.1-004,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,May-28-26 07:14:08 PDT,Jul-28-26 07:14:08 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,0.99,False,True,True,False
147336997239,Cloud of Darkness FIN U NM,,05.28.26.1-005,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,May-28-26 07:14:08 PDT,Jul-28-26 07:14:08 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,0.99,False,True,True,False
147336997240,Queen Brahne FIN U NM,,05.28.26.1-003,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,May-28-26 07:14:08 PDT,Jul-28-26 07:14:08 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,0.99,False,True,True,False
147336997241,Gaius van Baelsar FIN U NM,,05.28.26.1-008,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,May-28-26 07:14:08 PDT,Jul-28-26 07:14:08 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,0.99,False,True,True,False
147336997243,Auron's Inspiration FIN U NM,,05.28.26.1-010,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,May-28-26 07:14:08 PDT,Jul-28-26 07:14:08 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,0.99,False,True,True,False
147336997245,"Lagorin, Soul of Alacria DFT U NM",,05.28.26.1-020,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,May-28-26 07:14:08 PDT,Jul-28-26 07:14:08 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,0.99,False,True,True,False
147336997248,Unexpected Request FIN U NM,,05.28.26.1-011,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,May-28-26 07:14:08 PDT,Jul-28-26 07:14:08 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,0.99,False,True,True,False
147336997249,"Sita Varma, Masked Racer (Borderless) DFT R NM",,05.28.26.1-016,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,May-28-26 07:14:08 PDT,Jul-28-26 07:14:08 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,0.99,False,True,True,False
147336997250,Snow Villiers FIN U NM,,05.28.26.1-007,1,FIXED_PRICE,USD,1.29,,,1.29,0,,,May-28-26 07:14:08 PDT,Jul-28-26 07:14:08 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.29,False,False,True,False
